PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating,Coating_Number,Loading,Loading_Number,Dose_(mg/kg),Dose_Group,IC50 ,Delivery_Efficiency_(%ID/g),Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined_Therapy1,Combined_Therapy2,Combined_Therapy3,Combined_Therapy_Grouped,Study strategy,Imaging_1,Imaging_2,Imaging_3,Imaging_4
24532221,Adv Mater,2014,10.1002/adma.201304544,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Proteins,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,Liver,Kidney,NA,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None
24547810,ACS Nano,2014,10.1021/nn405663h,Inorganic,Gold,Systemic,IV,2,Negative,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Brain,1,Single,NA,130.5,97.1,77,Intestine,Brain,Lung,Photothermal therapy,None,None,Single,Therapy,None,None,None,None
24556065,ACS Appl Mater Interfaces,2014,10.1021/am405378x,Inorganic,Gold,NA,NA,4,Negative,Other,Other,1,None,None,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Colon,1,Single,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None
24616338,Small,2014,10.1002/smll.201302765,Inorganic,Gold,Systemic,IV,2,Positive,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None
24659273,Small,2014,10.1002/smll.201470036,Inorganic,Gold,Systemic,IV,NA,NA,Spherical,Other,1,Other,1,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,Radiotherapy,None,None,Single,Theragnostic,MRI,None,None,None
24660754,ACS Appl Mater Interfaces,2014,10.1021/am500715f,Inorganic,Gold,Local,Intratumoral,2,NA,Other,Polymer,1,None,None,2,1,NA,NA,NA,NA,Allograft heterotopic,Liver,1,Single,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,None,None,None,None
24673744,ACS Appl Mater Interfaces,2014,10.1021/am5001823,Inorganic,Gold,Systemic,IV,2,Neutral,Rod,Polymer,1,None,None,NA,NA,NA,13.9,Yes,NA,Xenograft heterotopic,Other,1,Single,100,287.3,107.6,32.9,Spleen,Liver,Heart,Photothermal therapy,None,None,Single,Therapy,None,None,None,None
24698945,J Control Release,2014,10.1016/j.jconrel.2014.03.043,Inorganic,Iron_oxide,Systemic,IV,3,Neutral,Spherical,Polymer-mAb,>1,Other,>1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,Other,None,None
24703718,Biomaterials,2014,10.1016/j.biomaterials.2014.03.030,Inorganic,Silica,Systemic,IV,4,Positive,Spherical,Peptide,>1,None,None,16,3,NA,NA,NA,NA,Xenograft heterotopic,Prostate,1,Single,NA,10.8,7.7,5.4,Liver,Lung,Kidney,None,None,None,None,Diagnostic,Ultrasound,MRI,None,None
24704711,J Control Release,2014,10.1016/j.jconrel.2014.03.045,Inorganic,Gold,Systemic,IV,3,Negative,Spherical,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Colon,1,Single,NA,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Theragnostic,Other,None,None,None
24712914,ACS Appl Mater Interfaces,2014,10.1021/am500761x,Inorganic,Gold,Systemic,IV,4,Neutral,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Liver,1,Single,NA,1687.1,896.6,513.8,Liver,Spleen,Lung,None,None,None,None,Diagnostic,CT,None,None,None
24727059,J Control Release,2014,10.1016/j.jconrel.2014.04.008,Inorganic,Iron_oxide,Local,Intratumoral,4,NA,Spherical,None,None,Drugs-NPs,>1,NA,NA,Yes,NA,NA,NA,Allograft orthotopic,Liver,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
24731706,Biomaterials,2014,10.1016/j.biomaterials.2014.03.065,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Other,1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Skin,1,Single,99.65543,NA,NA,NA,NA,NA,NA,Photodynamic therapy,Photothermal therapy,None,Multiple,Therapy,Fluorescence,None,None,None
24746227,Biomaterials,2014,10.1016/j.biomaterials.2014.03.071,Inorganic,Iron_oxide,Systemic,IV,3,Negative,Spherical,Vitamins,>1,None,None,10,2,NA,NA,NA,NA,Allograft heterotopic,Other,7,Multiple,81.50289017,NA,NA,NA,NA,NA,NA,Radiofrequency,Photodynamic therapy,None,Multiple,Theragnostic,MRI,None,None,None
24749476,ACS Appl Mater Interfaces,2014,10.1021/am500818m,Inorganic,Iron_oxide,Systemic,IV,2,NA,Other,Polymer-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,1,Single,100,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
24754567,ACS Nano,2014,10.1021/nn406632u,Inorganic,Gold,Systemic,IV,2,Negative,Spherical,Polymer,1,None,None,NA,NA,NA,3.34,Yes,NA,Xenograft orthotopic,Other,1,Single,NA,1167.7,501.8,35.3,Spleen,Liver,Kidney,None,None,None,None,Theragnostic,Other,CT,None,None
24754735,ACS Nano,2014,10.1021/nn4062726,Inorganic,Iron_oxide,Systemic,IV,4,NA,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Theragnostic,MRI,None,None,None
24766522,ACS Nano,2014,10.1021/nn406258m,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer,1,NA,NA,0.21,1,NA,23.2,Yes,NA,Allograft heterotopic,Breast,1,Single,NA,166,21.9,10.5,Liver,Spleen,Heart,None,None,None,None,Diagnostic,Luminescence,Photoacoustic,PET,None
24838472,Adv Mater,2014,10.1002/adma.201400158,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Polymer-Proteins,>1,None,None,NA,NA,Yes,NA,NA,2,Allograft heterotopic,Breast,1,Single,70.25450349,34.50570486,16.26325467,9.770042566,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
24881997,Biomaterials,2014,10.1016/j.biomaterials.2014.04.063,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,1,Single,99.81520591,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,None,None,None
24890678,Adv Mater,2014,10.1002/adma.201401550,Inorganic,Silica,Local,Other,NA,NA,Spherical,None,None,Drugs,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Therapy,None,None,None,None
24927683,Biomaterials,2014,10.1016/j.biomaterials.2014.05.046,Inorganic,Gold,Systemic,IV,1,NA,Spherical,Polymer,>1,NA,NA,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Brain,7,Multiple,53.5473,1804.8,385.7,47.6,Spleen,Liver,Lung,Other,None,None,Single,Theragnostic,CT,None,None,None
24930850,Biomaterials,2014,10.1016/j.biomaterials.2014.05.058,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Glycosides,1,Drugs,1,5,1,NA,NA,NA,NA,Xenograft heterotopic,Liver,9,Multiple,69.13580247,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
24947231,Biomaterials,2014,10.1016/j.biomaterials.2014.05.091,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Proteins,>1,None,None,NA,NA,Yes,14.93,Yes,NA,Allograft heterotopic,Breast,1,Single,NA,102.1433356,36.7716008,34.02545211,Spleen,Kidney,Lung,None,None,None,None,Diagnostic,None,None,None,None
24953128,Nanoscale,2014,10.1039/c4nr01927j,Inorganic,Gold,Systemic,IV,3,Negative,Spherical,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Lung,1,Single,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,Fluorescence,None,None,None
24976309,Small,2014,10.1002/smll.201401025,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer,1,None,None,10,2,NA,NA,NA,NA,Allograft heterotopic,Breast,1,Single,99.7752809,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,None,None,None
25034575,J Control Release,2014,10.1016/j.jconrel.2014.06.037,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Nucleic acid,1,Drugs,>1,1,1,NA,NA,NA,NA,Xenograft heterotopic,Liver,9,Multiple,90.52880821,NA,NA,NA,Lung,Liver,Spleen,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25038495,Nanomedicine,2015,10.1016/j.nano.2014.07.004,Inorganic,Silica,Systemic,IV,3,Neutral,Spherical,Polymer,1,Drugs,1,2.3,1,NA,NA,NA,NA,Xenograft heterotopic,Lung,1,Single,70.49180328,NA,NA,NA,NA,NA,NA,Chemotherapy ,Other,None,Multiple,Therapy,None,None,None,None
25044204,Adv Mater,2014,10.1002/adma.201401499,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Antibody,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,87.66785,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,CT,Fluorescence,None,None
25108151,J Control Release,2014,10.1016/j.jconrel.2014.07.054,Inorganic,Gold,Systemic,IV,2,NA,Other,Polymer-peptide,>1,Drugs,1,NA,NA,Yes,4.06,Yes,1,Xenograft heterotopic,Brain,4,Multiple,95.85082,90.9,66.7,64.5,Liver,Kidney,Lung,Photothermal therapy,Chemotherapy,None,Multiple,Therapy,None,None,None,None
25167961,Adv Mater,2014,10.1002/adma.201402509,Inorganic,Iron_oxide,Local,Intratumoral,NA,NA,Other,Other,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,NA,NA,NA,NA,NA,NA,NA,Magnetic Hyperthermia,None,None,Single,Theragnostic,Ultrasound,CT,None,None
25178270,J Control Release,2014,10.1016/j.jconrel.2014.07.059,Inorganic,Iron_oxide,Systemic,IV,4,Neutral,Spherical,Peptide,>1,Drugs-NPs,>1,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Colon,1,Single,74.46351931,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None
25184691,ACS Nano,2014,10.1021/nn503349g,Inorganic,Gold,Systemic,IV,3,NA,Spherical,Nucleic acid-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Lung,2,Multiple,91.12747,2252.9,944.7,509.4,Spleen,Liver,Lung,Gene therapy,Chemotherapy,None,Multiple,Therapy,Luminescence,None,None,None
25196485,Small,2015,10.1002/smll.201400765,Inorganic,Silica,Systemic,Other,3,NA,Spherical,None,None,Drugs,1,0.25,1,NA,NA,NA,NA,Xenograft heterotopic,Pancreas,8,Multiple,65.73311367,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25247850,ACS Nano,2014,10.1021/nn503735w,Inorganic,Iron_oxide,Systemic,IV,2,Neutral,Spherical,Polymer-Drugs,>1,None,None,10,2,NA,NA,NA,NA,Xenograft orthotopic,Brain,1,Single,NA,NA,NA,NA,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25262581,Nanomedicine,2015,10.1016/j.nano.2014.09.009,Inorganic,Iron_oxide,Systemic,IV,2,Positive,Spherical,Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,3,Multiple,76.59039507,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None
25266128,Nanoscale,2014,10.1039/c4nr04569f,Inorganic,Gold,Systemic,IV,1,Positive,Spherical,Polymer,1,None,None,NA,NA,NA,3,Yes,NA,Xenograft heterotopic,Prostate,1,Single,NA,483.3,354,256.7,Liver,Kidney,Lung,None,None,None,None,Diagnostic,PET,None,None,None
25277774,Biomaterials,2014,10.1016/j.biomaterials.2014.09.003,Inorganic,Silica,Systemic,IV,3,Positive,Spherical,Polymer-peptide,>1,Nucleic acids,1,100,4,NA,NA,NA,NA,Xenograft heterotopic,Lung,5,Multiple,94.11764706,NA,NA,NA,NA,NA,NA,Gene Therapy,None,None,Single,Therapy,None,None,None,None
25286086,ACS Nano,2014,10.1021/nn503779d,Inorganic,Gold,Systemic,IV,2,Neutral,Other,Polymer,>1,None,None,NA,NA,NA,8.34,Yes,NA,Allograft heterotopic,Breast,1,Single,99.2378,296.4,138.4,67.1,Spleen,Liver,Kidney,Photothermal therapy,None,None,Single,Therapy,None,None,None,None
25327162,Nanoscale,2014,10.1039/c4nr03003f,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-nucleic acids,>1,None,None,5,1,Yes,NA,NA,NA,Xenograft heterotopic,Other,7,Multiple,53.23387873,NA,NA,NA,NA,NA,NA,None,None,None,None,Theragnostic,MRI,Fluorescence,None,None
25353068,ACS Appl Mater Interfaces,2014,10.1021/am506849p,Inorganic,Silica,Systemic,IV,3,Negative,Spherical,Polymer-proteins,>1,Drugs,1,5,1,NA,4.7,Yes,NA,Xenograft heterotopic,Brain,NA,NA,NA,12.3,7.9,7.7,Liver,Kidney,Lung,Chemotherapy,None,None,Single,Theragnostic,PET,None,None,None
25354691,Small,2015,10.1002/smll.201402179,Inorganic,Gold,Local,Intratumoral,2,NA,Spherical,Polymer-peptide,>1,None,None,NA,NA,NA,NA,NA,NA,NA,Skin,2,Multiple,91.51428,NA,NA,NA,NA,NA,NA,Immunotherapy,None,None,Single,Therapy,None,None,None,None
25362857,Nanoscale,2014,10.1039/c4nr05305b,Inorganic,Silica,Local,Intratumoral,2,NA,Spherical,Polymer-Drugs,>1,Drugs,>1,25,3,NA,NA,NA,NA,Xenograft heterotopic,Other,1,Single,92.61603376,NA,NA,NA,NA,NA,NA,Photodynamic therapy,Chemotherapy,None,Multiple,Theragnostic,Luminescence,None,None,None
25450403,J Control Release,2014,10.1016/j.jconrel.2014.10.021,Inorganic,Gold,Local,Intratumoral,4,Negative,Spherical,Nucleic acid,>1,None,None,0.5,1,NA,NA,NA,NA,Xenograft heterotopic,Cervix,1,Single,37.74834,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None
25453956,Biomaterials,2015,10.1016/j.biomaterials.2014.10.033,Inorganic,Silica,Systemic,IV,2,Negative,Spherical,Vitamins,1,Drugs,>1,10,2,NA,NA,NA,NA,Allograft heterotopic,Liver,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,Other,None,None,None
25453970,Biomaterials,2015,10.1016/j.biomaterials.2014.10.007,Inorganic,Gold,Systemic,IV,2,Negative,Spherical,Polymer-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Brain,4,Multiple,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25453972,Biomaterials,2015,10.1016/j.biomaterials.2014.10.001,Inorganic,Silica,Local,Intratumoral,4,NA,Spherical,None,None,Drugs,>1,5,1,NA,NA,NA,NA,Xenograft heterotopic,Prostate,1,Single,88.59375,NA,NA,NA,NA,NA,NA,Chemotherapy ,Other,None,Multiple,Therapy,None,None,None,None
25457979,Biomaterials,2015,10.1016/j.biomaterials.2014.10.065,Inorganic,Hybrid,Local,Intratumoral,4,Negative,Other,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,2,Multiple,99.82048574,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,CT,Thermal imaging,None
25474753,ACS Appl Mater Interfaces,2015,10.1021/am507658v,Inorganic,Silica,Local,Intratumoral,3,Negative,Spherical,Vitamins,>1,Drugs,1,10,2,NA,NA,NA,NA,Xenograft heterotopic,Cervix,NA,NA,96.7032967,NA,NA,NA,NA,NA,NA,Photothermal therapy,Chemotherapy,None,Multiple,Therapy,None,None,None,None
25477173,Biomaterials,2015,10.1016/j.biomaterials.2014.10.064,Inorganic,Iron_oxide,Local,Intratumoral,4,NA,Spherical,Other,1,None,None,2.66,1,NA,NA,NA,NA,Xenograft heterotopic,Lung,1,Single,76.98412698,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,None,None,None,None
25504837,Small,2015,10.1002/smll.201402297,Inorganic,Silica,Systemic,Other,4,Negative,Spherical,Polymer-proteins,>1,Drugs,1,20,3,NA,NA,NA,NA,Xenograft heterotopic,Lung,NA,NA,NA,NA,NA,NA,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None
25521795,Nanoscale,2015,10.1039/c4nr05342g,Inorganic,Hybrid,Systemic,IV,2,NA,Spherical,Polymer,>1,Other,1,5,1,NA,NA,NA,NA,Allograft heterotopic,Liver,2,Multiple,84.50704225,NA,NA,NA,Liver,Spleen,Lung,Chemotherapy,None,None,Single,Theragnostic,MRI,Luminescence,None,None
25542798,Biomaterials,2015,10.1016/j.biomaterials.2014.11.053,Inorganic,Gold,Systemic,IV,3,NA,Other,None,None,Other,>1,560,4,NA,NA,NA,NA,Allograft heterotopic,Colon,1,Single,NA,1865.8,853.4,20,Liver,Spleen,Lung,None,None,None,None,Diagnostic,CT,Fluorescence,None,None
25554860,Nano Lett,2015,10.1021/nl5045378,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Other,1,None,None,0.6,1,NA,0.003,Yes,NA,Xenograft heterotopic,Other,5,Multiple,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,Luminescence,None,None,None
25562533,ACS Nano,2015,10.1021/nn506757x,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Other,Polymer,>1,None,None,6.85,2,NA,4.77,Yes,NA,Allograft heterotopic,Brain,1,Single,89.50816882,946.5408805,316.1425577,36.47798742,Liver,Spleen,Lung,Photothermal therapy,None,None,Single,Theragnostic,MRI,PET,None,None
25581331,ACS Nano,2015,10.1021/nn5063613,Inorganic,Silica,Systemic,IV,4,NA,Rod,Drugs,>1,None,None,20,3,Yes,NA,NA,1,Allograft heterotopic,Liver,1,Single,87.97214037,NA,NA,NA,Lung,Spleen,Liver,Photothermal therapy,Chemotherapy,None,Multiple,Theragnostic,Other,CT,MRI,None
25630756,Small,2015,10.1002/smll.201403481,Inorganic,Gold,Local,Intratumoral,1,NA,Spherical,Proteins,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Liver,1,Single,79.09614,NA,NA,NA,NA,NA,NA,Other,None,None,Single,Therapy,None,None,None,None
25633047,Nanoscale,2015,10.1039/c5nr00072f,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Peptide,>1,Drugs,1,1,1,NA,NA,NA,NA,Xenograft heterotopic,Liver,9,Multiple,92.83727399,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25645959,Nanomedicine,2015,10.1016/j.nano.2014.12.007,Inorganic,Silica,Systemic,IV,1,NA,Spherical,Peptide,1,Drugs,>1,52,4,NA,NA,NA,NA,Xenograft orthotopic,Brain,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Diagnostic,MRI,None,None,None
25652893,Nanomedicine,2015,10.1016/j.nano.2014.12.016,Inorganic,Gold,Systemic,IV,NA,Neutral,Rod,Polymer-Drugs,>1,None,None,10,2,NA,NA,NA,NA,Xenograft heterotopic,Prostate,1,Single,30.87248,NA,NA,NA,NA,NA,NA,Radiotherapy,None,None,Single,Therapy,None,None,None,None
25652902,Nanomedicine,2015,10.1016/j.nano.2014.12.011,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer-mAb,>1,None,None,NA,NA,NA,NA,NA,1,Allograft orthotopic,Brain,1,Single,NA,NA,NA,NA,Thyroid gland,Liver,NA,None,None,None,None,Diagnostic,MRI,None,None,None
25655680,Adv Mater,2015,10.1002/adma.201405036,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Other,Polymer,1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Breast,1,Single,100,NA,NA,NA,NA,NA,NA,Magnetic Hyperthermia,None,None,Single,Therapy,None,None,None,None
25670342,ACS Nano,2015,10.1021/acsnano.5b00276,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,Polymer-peptides,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Other,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None
25678124,Biomaterials,2015,10.1016/j.biomaterials.2014.12.034,Inorganic,Silica,Systemic,IV,2,NA,Other,Vitamins,1,Drugs,>1,91,4,Yes,NA,NA,NA,Xenograft heterotopic,Cervix,NA,NA,95.45454545,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None
25688714,ACS Nano,2015,10.1021/nn506640h,Inorganic,Silica,Systemic,IV,2,NA,Spherical,Proteins,1,Other,>1,2,1,Yes,NA,NA,NA,Xenograft heterotopic,Liver,5,Multiple,60.17699115,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,MRI,None,None,None
25695371,ACS Nano,2015,10.1021/nn506949t,Inorganic,Iron_oxide,Local,Intratumoral,3,NA,Spherical,None,None,Drugs-NPs,>1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Skin,1,Single,100,NA,NA,NA,NA,NA,NA,Photodynamic therapy,Magnetic Hyperthermia,None,Multiple,Theragnostic,MRI,None,None,None
25706857,ACS Appl Mater Interfaces,2015,10.1021/am507898z,Inorganic,Hybrid,Systemic,IV,4,NA,Spherical,Polymer,1,Drugs-NPs,>1,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Other,1,Single,82.40740741,411.4285714,388.5714286,340,Lung,Liver,Spleen,Magnetic hyperthermia,Radiofrequency,Chemotherapy,Multiple,Theragnostic,MRI,Other,None,None
25731982,Nanoscale,2015,10.1039/c4nr04257c,Inorganic,Iron_oxide,Systemic,IV,3,Negative,Spherical,Drugs,>1,Other,>1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Skin,7,Multiple,94.18604651,62.96296296,61.85185185,11.85185185,Liver,Spleen,Kidney,Radiofrequency,Chemotherapy,None,Multiple,Theragnostic,MRI,None,None,None
25755105,Small,2015,10.1002/smll.201403517,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer-Drugs,>1,None,None,2,1,NA,33.5,Yes,NA,Allograft heterotopic,Liver,5,Multiple,70.54632,10.8,5.5,3.4,Kidney,Spleen,Liver,Chemotherapy,None,None,Single,Theragnostic,CT,Fluorescence,None,None
25756781,Nano Lett,2015,10.1021/nl504044p,Inorganic,Silica,Local,Intratumoral,4,NA,Spherical,Drugs,>1,None,None,6.25,2,NA,NA,NA,NA,Xenograft heterotopic,Brain,1,Single,93.17774483,NA,NA,NA,Spleen,Lung,Liver,Photodynamic therapy,None,None,Single,Therapy,None,None,None,None
25765172,ACS Appl Mater Interfaces,2015,10.1021/acsami.5b00746,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Other,>1,Drugs,1,5,1,NA,NA,NA,NA,Xenograft heterotopic,Liver,15,Multiple,81.70289855,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,Fluorescence,None,None,None
25770995,Biomaterials,2015,10.1016/j.biomaterials.2015.01.063,Inorganic,Silica,Systemic,IV,3,Positive,Spherical,Polymer-peptide,>1,Drugs,1,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,7,Multiple,47.61904762,NA,NA,NA,NA,NA,NA,Chemotherapy ,Other,None,Multiple,Therapy,None,None,None,None
25771010,Biomaterials,2015,10.1016/j.biomaterials.2015.02.019,Inorganic,Hybrid,Systemic,IV,2,NA,Spherical,Polymer,>1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Liver,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,CT,None,None
25776964,ACS Nano,2015,10.1021/acsnano.5b00510,Inorganic,Silica,Systemic,IV,2,Negative,Spherical,Polymer,>1,Drugs,>1,250,4,Yes,NA,NA,NA,Xenograft orthotopic,Pancreas,6,Multiple,84.64566929,12.5,3.5,4,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25800697,Nat Commun,2015,10.1038/ncomms7570,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Antibody,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Skin,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,None,None,None,None
25804427,Nanoscale,2015,10.1039/c5nr01055a,Inorganic,Gold,Local,Intratumoral,2,NA,Rod,Polymer,1,None,None,4,1,NA,NA,NA,NA,Allograft heterotopic,Lung,1,Single,100,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,Other,None,None,None
25843647,ACS Nano,2015,10.1021/nn507241v,Inorganic,Silica,Local,Intratumoral,2,Positive,Spherical,Antibody,>1,Other,1,33,3,NA,6,Yes,NA,Allograft heterotopic,Breast,1,Single,99.98886414,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,PET,None,None,None
25888279,Nanomedicine,2015,10.1016/j.nano.2015.04.001,Inorganic,Gold,Local,Intratumoral,1,Negative,Spherical,Drugs,1,None,None,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Skin,1,Single,80.90209,96.7,87.5,9.5,Liver,Kidney,Spleen,Chemotherapy,None,None,Single,Therapy,None,None,None,None
25909483,Nanoscale,2015,10.1039/c5nr01408e,Inorganic,Gold,Systemic,IV,3,Neutral,Spherical,Peptide-Drugs,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Brain,1,Single,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,Fluorescence,None,None,None
25916546,Nanoscale,2015,10.1039/c5nr00806a,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Vitamins,>1,None,None,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Cervix,1,Single,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,Other,None,None
25921793,Nanoscale,2015,10.1039/c5nr01744k,Inorganic,Iron_oxide,Local,Intratumoral,3,NA,Spherical,Polymer-Drugs,>1,None,None,21,3,NA,NA,NA,NA,Xenograft heterotopic,Liver,1,Single,100,NA,NA,NA,NA,NA,NA,Magnetic Hyperthermia,Chemotherapy,None,Multiple,Theragnostic,MRI,None,None,None
