PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Details sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core /NPs  or vesicles,Core (details),Dose_(mg/kg),Dose_other data,IC50 ,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined therapies ,Detail Combined strategy,Study strategy,Detail study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon
22824783,J Control Release,2012,10.1016/j.jconrel.2012.07.020,Inorganic,Iron_oxide,Systemic,IV,,150,,11.1,Spherical,None,,Other,IO,Polymer,Chitosan + Pluronic ,,15 mg Fe/kG,No info,No info,No info,No info,Allograft heterotopic,Skin,1,#DIV/0!,606.424581,76.81564246,70.67039106,Liver,Spleen,Kidney,,,Diagnostic,,MR imaging,,,#DIV/0!,,1.85,21.71,2.75,1.7,,2.53,,,,3.58,0,51.67597765,606.424581,76.81564246,47.48603352,0,70.67039106,0,0,0
27449744,J Control Release,2016,10.1016/j.jconrel.2016.07.026,Inorganic,Iron_oxide,Systemic,IV,,209,,-32,Spherical,None,,Other,SPIONs + DiR,Polymer,PLGA-PEG nanocapsules,500,,No info,5.66,No info,No info,Allograft heterotopic,Colon,1,#DIV/0!,404.4169611,226.5017668,,Spleen,Liver ,,Magnetic Field,Magnet targeting,Theragnostics,,MRI + Fluorescence,,,#DIV/0!,,,12.82,22.89,,,,,,,5.66,0,0,226.5017668,404.4169611,0,0,0,0,0,0
23499668,Nanomedicine,2013,10.1016/j.nano.2013.02.010,Inorganic,Iron_oxide,Systemic,IV,,51,,No info,Spherical,Polymer-Drugs,PEG + DOX + FA,None,,Iron oxide,Core shell FePt@Fe3O4,,34 mg Fe/kG,40 uM,No info,No info,No info,Allograft heterotopic,Breast,1,#DIV/0!,,,,,,,Chemotherapy,,Theragnostics,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27541372,Nano Lett,2016,10.1021/acs.nanolett.6b02261,Inorganic,Iron_oxide,Systemic,IV,,218,,-36,Spherical,None,,Drugs,IO coated with OA + Drug,Polymer,PEG + PLGA,,"312,5 mg Polymer /kG",No info,5.6,No info,No info,Allograft heterotopic,Colon,1,#DIV/0!,262.1428571,206.9642857,58.39285714,Spleen,Liver,Kidney,Magnetic Field + Chemotherapy,Magnetic targeting,Theragnostics,,MRI + CT,,,#DIV/0!,,,11.59,14.68,1.4,,3.27,,,,5.6,0,0,206.9642857,262.1428571,25,0,58.39285714,0,0,0
31554396,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b11353,Inorganic,Iron_oxide,Systemic,IV,,110,,No info,Spherical,Vitamins,Mn-OA + FA + PEG,None,,Iron oxide,FePt,,1250 mg Fe/Kg + 250 mg Mn/Kg,40 ug/mL,No info,No info,No info,Allograft heterotopic,Breast,7,65.45454545,296.2616822,214.4473333,110.6949617,Liver,Spleen,Kidney,,,Theragnostics,,MRI + CT,1.9,5.5,65.45454545,,,421.61,305.18,89.8,,157.53,,,,142.31,0,0,296.2616822,214.4473333,63.10167943,0,110.6949617,0,0,0
19524625,J Control Release,2009,10.1016/j.jconrel.2009.06.002,Inorganic,Iron_oxide,Systemic,IV,,100,,-5,Spherical,Polymer,PEG-Pasp,None,,Iron oxide,,,"0,1 mmol Fe/kG",No info,No info,No info,No info,Xenograft heterotopic,Pancreas,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28470979,Angew Chem Int Ed Engl,2017,10.1002/anie.201701181,Inorganic,Iron_oxide,Systemic,IV,,35,,No info,Spherical,Polymer,linoleic acid hydroperoxide,None,,Iron oxide,,3,,"7,8 uM",No info,No info,No info,Xenograft heterotopic,Brain,3,82.29347493,,,,,,,,,Theragnostics,,MR imaging,17.34,97.93,82.29347493,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27862808,Angew Chem Int Ed Engl,2016,10.1002/anie.201608338,Inorganic,Iron_oxide,Local,Intratumoral,,570,,No info,Spherical,None,,None,,Other,IO + Copolymers + AU ,,9 mg AU Fe /kG,No info,No info,No info,No info,Xenograft heterotopic,Brain,1,#DIV/0!,,,,,,,Magnetic Field,Magnet,Theragnostics,,MRI + Photoacoustic,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19263431,Small,2009,10.1002/smll.200801789,Inorganic,Iron_oxide,Systemic,IV,,,lenght=70 nm and thick=30 nm (worm),No info,Other,Polymer-peptides,Polymer (PEG) + peptide (CREKA) + Cy7,None,,Iron oxide,,,3 mg Fe/kG,No info,5.53,17.9,No info,Xenograft orthotopic,Breast,1,#DIV/0!,283.5443038,205.244123,28.93309222,Spleen,Liver,Kidney,,,Diagnostic,Tumor targeting,Fluorescence,,,#DIV/0!,,,11.35,15.68,1.38,1.16,1.6,,,,5.53,0,0,205.244123,283.5443038,24.95479204,20.97649186,28.93309222,0,0,0
27837682,Biomaterials,2017,10.1016/j.biomaterials.2016.10.027,Inorganic,Iron_oxide,Systemic,IV,,208,,-28.4,Spherical,Vitamins,FA + IO,Drugs,DOZ + IO + fa,Polymer,Polymersome (PGA + PCL),,1 mg DOX/ Kg,"0,1288 ug/mL",No info,No info,No info,Xenograft heterotopic,Cervix,3,93.47193642,,,,,,,Chemotherapy,,Theragnostics,,MR imaging,0.92,14.093,93.47193642,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26393884,Nanomedicine,2016,10.1016/j.nano.2015.08.008,Inorganic,Iron_oxide,Systemic,IV,,,100 nm - without coating,No info,Other,Vitamins,PEG + FA,None,,Other,Carbon nanotubes filled with Fe,1,,No info,0.83,No info,No info,Allograft heterotopic,Brain,1,#DIV/0!,,,,Liver,Spleen,Lung,,,Diagnostic,,MRI + Thermoacoustic,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26366746,Small,2015,10.1002/smll.201501491,Inorganic,Iron_oxide,Local,Intratumoral,,,105,No info,Spherical,Polymer,Carbon + Cy-GdIII + FA-PEG-Py,None,,Iron oxide,IO nanocluster,12.5,,No info,No info,No info,No info,Allograft heterotopic,Breast,1,#DIV/0!,,,,,,,,,Diagnostic,,MRI + Optoacoustic,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26896610,Biomaterials,2016,10.1016/j.biomaterials.2016.01.068,Inorganic,Iron_oxide,Systemic,IV,,22.1,,21.1,Spherical,Polymer-nucleic acids,VEGF SiRNA-PEG,Drugs,IO + SN-38,Polymer,Micelles particles loaded with IO,,10 mg SN -38/Kg and 1 mg SiRNA/kG,No info,0.99,No info,No info,Xenograft heterotopic,Colon,5,85.89724423,7160.606061,1369.69697,1077.777778,Spleen,Liver,Lung,Chemotherapy,,Theragnostics,,MR imaging,283,2006.7,85.89724423,,,13.56,70.89,10.67,,6.67,,,,0.99,0,0,1369.69697,7160.606061,1077.777778,0,673.7373737,0,0,0
26491996,Biomaterials,2016,10.1016/j.biomaterials.2015.09.030,Inorganic,Iron_oxide,Systemic,IV,,110,,No info,Spherical,Vitamins,SiO2 + PEG + FA,Drugs,DOX + DiR,Iron oxide,Core-shell NPs - Fe3O4@SiO2,,5 MG dox /Kg,No info,No info,No info,No info,Xenograft heterotopic,Liver,1,93.87031408,,,,Liver,Spleen,Kidney,Magnetic Field + Chemotherapy,Permanet magnet (targeting),Theragnostics,,MRI + Fluorescence,1.21,19.74,93.87031408,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19878991,Biomaterials,2010,10.1016/j.biomaterials.2009.09.091,Inorganic,Iron_oxide,Local,Intratumoral,Organogel with NPs,20,,No info,Spherical,None,,Other,IO,Silica,IO embedded in silica ,,40% w/v NPs,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,#DIV/0!,,,,,,,Magnetic Field,Hyperthermia,Therapy,,None,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27793687,J Control Release,2016,10.1016/j.jconrel.2016.10.021,Inorganic,Iron_oxide,Systemic,IV,,63,,-22.9,Spherical,Polymer-Drugs,Copolymers + Radionuclide + Cisplatin,None,,Iron oxide,Core-shell NPs,,"4,5 MG cis-Pt / kG","181,1 uM",1,No info,No info,Xenograft heterotopic,Colon,4,68.23108155,,,,Liver,Lungs,Heart,Magnetic Field + Chemotherapy,static magnetic field,Theragnostics,,MRI + CT,424.096,1334.94,68.23108155,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23591395,Biomaterials,2013,10.1016/j.biomaterials.2013.03.061,Inorganic,Iron_oxide,Systemic,Inhalation,,365,,No info,Spherical,Polymer-peptides,Pluronic + Peptide,None,,Iron oxide,SPION,,"0,025 Fe mg /Kg",No info,No info,No info,No info,Xenograft heterotopic,Lung,1,20.25316456,16.2894623,,,Liver,Stomach,Spleen,Magnetic Field,AMF - Magnetic targeting,Therapy,,None,0.63,0.79,20.25316456,,,11.3,3.01,,,,,,,69.37,0,0,16.2894623,4.339051463,0,0,0,0,0,0
30273749,Biomaterials,2018,10.1016/j.biomaterials.2018.09.039,Inorganic,Iron_oxide,Systemic,IV,,151.2,,No info,Spherical,Other,Silica + Mesoposous carbon,Drugs,DOX,Iron oxide,Magnetic silica York Shell,24,,No info,No info,No info,No info,Allograft orthotopic,Breast,5,55.36823425,,,,,,,Chemotherapy,,Theragnostics,,MR imaging,553.3,1239.7,55.36823425,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21801769,J Control Release,2011,10.1016/j.jconrel.2011.07.019,Inorganic,Iron_oxide,Systemic,IV,,43.1,,No info,Spherical,Polymer-Proteins,Silica  + PEG + Cy5.5 + MMP substrate,None,,Iron oxide,Core-Shell NPs - SPION,No info,,No info,No info,No info,No info,Allograft heterotopic,Skin,1,#DIV/0!,,,,Liver,,,,,Diagnostic,,MRI + Fluorescence,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23465836,Biomaterials,2013,10.1016/j.biomaterials.2013.01.086,Inorganic,Iron_oxide,Local,Intratumoral,,9.1,,No info,Spherical,Polymer,PEG-Phospholipid,None,,Iron oxide,,,8 mg Fe/kG,No info,No info,No info,No info,Xenograft heterotopic,Other,1,#DIV/0!,,,,,,,Laser irradiation,808 nm laser (PTT),Therapy,,None,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28336375,J Control Release,2017,10.1016/j.jconrel.2017.03.035,Inorganic,Iron_oxide,Systemic,IV,cells-mediated delivery,110,,No info,Spherical,Polymer,poly(y-GA-co-DSGA),Drugs,SPION-OA + PTX,Polymer,PLGA core,,"2,5 mg DOX/Kg",No info,No info,No info,No info,Allograft orthotopic,Brain,4,"68,4 - allograft heterotopic",77.52911624,37.95387075,4.955469285,Liver,Lung,Kidney,Magnetic Field + Chemotherapy,HFMF,Therapy,,None,,,#DIV/0!,,,33.95,,16.62,,2.17,,,,43.79,0,0,77.52911624,0,37.95387075,0,4.955469285,0,0,0
19783295,Biomaterials,2009,10.1016/j.biomaterials.2009.09.004,Inorganic,Iron_oxide,Systemic,IV,,30,,-31.7,Spherical,Other,Cy5.5,Other,Oleic acid (OA) coated IO,Other,Micelles PEG-DSPE lipid ,,"16,7 mg Fe/kG",No info,No info,2.2,No info,Xenograft heterotopic,Other,1,#DIV/0!,562.8571429,162.8571429,50.47619048,Liver,Kidney,Lung,,,Diagnostic,,MRI + Fluorescence,,,#DIV/0!,,,5.91,0.84,0.53,,1.71,,,,1.05,0,0,562.8571429,80,50.47619048,0,162.8571429,0,0,0
25562533,ACS Nano,2015,10.1021/nn506757x,Inorganic,Iron_oxide,Systemic,IV,,60,,-15,Plate,Polymer,IO + PEG + 64Cu,None,,Other,MoS2 nanosheets,6.85,,No info,4.77,No info,No info,Allograft heterotopic,Brain,1,89.50816882,946.5408805,316.1425577,36.47798742,Liver,Spleen,Lung,Laser irradiation,808 nm laser,Theragnostics,,MRI + PET,110.97,1057.68,89.50816882,0.51,0.21,45.15,15.08,1.74,,1.47,,0.26,,4.77,10.6918239,4.402515723,946.5408805,316.1425577,36.47798742,0,30.81761006,0,5.450733753,0
26031508,ACS Appl Mater Interfaces,2015,10.1021/acsami.5b03230,Inorganic,Iron_oxide,Local,Intratumoral,,5050,,No info,Spherical,None,,Other,Ionic Liquid + IO,Polymer,Gelatin,200,,No info,No info,No info,No info,Allograft heterotopic,Liver,1,100,,,,,,,Other,Microwave irradiation,Theragnostics,,MR imaging,0,2.6,100,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23276658,Biomaterials,2013,10.1016/j.biomaterials.2012.12.003,Inorganic,Iron_oxide,Systemic,Sub-cutaneous,Foot pad,429.3,,No info,Spherical,Polymer-Drugs,PLGA + DOX + IO,None,,Other,Gas core - Microbubbles,,185.45 mg Fe/mL,No info,No info,No info,No info,Allograft heterotopic,Skin,1,#DIV/0!,,,,,,,Ultrasound + Chemotherapy ,,Theragnostics,,MRI + Ultrasound imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22395568,Nanoscale,2012,10.1039/c2nr11554a,Inorganic,Iron_oxide,Systemic,IV,,55,,No info,Spherical,Polymer,OA + Silane + PEG,None,,Iron oxide,,,"2,5 MG Fe/kG",No info,No info,0.83,No info,Allograft heterotopic,Breast,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20232826,ACS Nano,2010,10.1021/nn100190v,Inorganic,Iron_oxide,Systemic,IV,,,"13,5 without coating",No info,Spherical,Polymer-Drugs,PEG + Cy5.5 + Chlorotoxin,None,,Iron oxide,,10,,No info,No info,No info,No info,Xenograft heterotopic,Other,1,#DIV/0!,,,,Liver,Kidney,Spleen,,,Diagnostic,,MRI + Fluorescence,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21648076,Small,2011,10.1002/smll.201100472,Inorganic,Iron_oxide,Systemic,IV,,65,,-23,Spherical,Nucleic acid-Drugs,ONT + PEG + Aptamer + Dox,None,,Iron oxide,,,7 mg Fe /Kg and 2mg Dox/kG ,No info,No info,No info,No info,Xenograft heterotopic,Prostate,4,54.18259947,,,,,,,Chemotherapy,,Theragnostics,,MR imaging,358.26,781.93,54.18259947,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27090165,J Control Release,2016,10.1016/j.jconrel.2016.04.015,Inorganic,Iron_oxide,Systemic,IV,,200,,-5.7,Spherical,Other,FITC,Other,IO coated OA + G4-RHO-FA,Other,Dendrimers - PAMAM,4,,No info,8.57,No info,No info,Xenograft heterotopic,Cervix,1,#DIV/0!,121.1201867,100.4667445,36.17269545,Liver,Spleen,Kidney,Magnetic Field + Chemotherapy,Magnet,Therapy,,None,,,#DIV/0!,,,10.38,8.61,2.56,,3.1,,,,8.57,0,0,121.1201867,100.4667445,29.87164527,0,36.17269545,0,0,0
24038954,Small,2014,10.1002/smll.201301456,Inorganic,Iron_oxide,Systemic,IV,,21,,21,Spherical,Polymer-Drugs,PEG + MMP-14 + clio-ict (Peptide pro-drug) +FITC,None,,Iron oxide,,,"0,75 mmol Fe/kG and 1 umol ICT/Kg",No info,No info,No info,No info,Allograft orthotopic,Breast,1,#DIV/0!,126.2560778,97.39059968,7.131280389,Liver,Spleen,Kidney,Chemotherapy,,Theragnostics,,MR imaging,,,#DIV/0!,,,15.58,12.018,,,0.88,,,,12.34,0,0,126.2560778,97.39059968,0,0,7.131280389,0,0,0
21277630,Biomaterials,2011,10.1016/j.biomaterials.2011.01.008,Inorganic,Iron_oxide,Systemic,IV,,100,,-40,Spherical,Drugs,dimercaptosuccinic acid + IFN-Y,None,,Iron oxide,,,10 000 U IFN-Y/mL and 3 mg NPs/Ml,No info,No info,No info,No info,Allograft heterotopic,Pancreas,1,96.63351186,,,,Lungs,Liver,Spleen,Magnetic field + Immunotherapy,Magnet,Therapy,,None,44,1307,96.63351186,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26645884,ACS Appl Mater Interfaces,2015,10.1021/acsami.5b08422,Inorganic,Iron_oxide,Systemic,IV,,,10 nm thick,No info,Plate,Drugs,zwitterionic dopamine sulfonate,None,,Iron oxide,Gadolinium-Embedded Iron Oxide,,"2,5 mg metals /Kg",No info,No info,No info,No info,Allograft heterotopic,Skin,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23932250,Biomaterials,2013,10.1016/j.biomaterials.2013.07.070,Inorganic,Iron_oxide,Systemic,IV,,288.7,,16.3,Spherical,Vitamins,PEI + FI + PEG-FA,None,,Iron oxide,,,25 mg Fe/kG,No info,No info,No info,No info,Xenograft heterotopic,Skin,1,#DIV/0!,1188.679245,283.0188679,207.5471698,Spleen,Liver,Heart,,,Diagnostic,,MR imaging,,,#DIV/0!,,0.11,0.15,0.63,0.12,,0.05,,,,0.053,0,207.5471698,283.0188679,1188.679245,226.4150943,0,94.33962264,0,0,0
25521795,Nanoscale,2015,10.1039/c4nr05342g,Inorganic,Iron_oxide,Systemic,IV,,,22 nm -without coating,No info,Spherical,Polymer-Drugs,PEG + OA coated-IO + DOX,None,,Silica,Mesoporous silica - NaYF4:Yb- UCPNs,,5 mg DOX/kg,No info,No info,No info,No info,Allograft heterotopic,Liver,2,80.91286307,,,,Liver,Lung,Spleen,Magnetic Field + Chemotherapy,Magnet,Theragnostics,,MRI + Luminescence,1.38,7.23,80.91286307,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31755189,Angew Chem Int Ed Engl,2020,10.1002/anie.201912312,Inorganic,Iron_oxide,Local,Other,Peritumoral,210-664,,No info,Spherical,None,,None,,Iron oxide,Fe-doped CuO NPs,0.225,,No info,No info,No info,No info,Allograft heterotopic,Skin,2,#DIV/0!,,,,,,,,,Therapy,,None,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21043459,ACS Nano,2010,10.1021/nn101643u,Inorganic,Iron_oxide,Systemic,IV,,102.4,,13.7,Spherical,Polymer,polyvinylpyrrolidone,None,,Iron oxide,,125,,No info,No info,No info,No info,Xenograft orthotopic,Liver,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20970851,Biomaterials,2011,10.1016/j.biomaterials.2010.09.024,Inorganic,Iron_oxide,Systemic,IV,,13.6,,-11,Spherical,Proteins,Lactoferrin,None,,Iron oxide,,,12 mg Fe/Kg,No info,No info,No info,No info,Allograft orthotopic,Brain,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20434209,Biomaterials,2010,10.1016/j.biomaterials.2010.03.072,Inorganic,Iron_oxide,Systemic,IV,,,"16,7 - No coating",No info,Spherical,Other,Sodium citrate (each NP) + Glycine (each NP) + Carboxymethyl dextran (All NPs),None,,Iron oxide,,,7 mg Fe/Kg,No info,No info,No info,No info,Allograft orthotopic,Brain,1,#DIV/0!,,,,,,,Magnetic Field,Magnetic targeting ,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
17964647,Biomaterials,2008,10.1016/j.biomaterials.2007.08.050,Inorganic,Iron_oxide,Systemic,IV,,110,,No info,Spherical,Polymer,Starch,None,,Iron oxide,,,12 mg Fe/Kg,No info,No info,No info,No info,Allograft orthotopic,Brain,1,#DIV/0!,,,,,,,Magnetic Field,Magnetic targeting,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26678549,ACS Nano,2016,10.1021/acsnano.5b07253,Inorganic,Iron_oxide,Systemic,Sub-cutaneous,Righ hock,43.25,,-16.8,Spherical,Proteins,OVA (antigen) + CpGs (agonist) + Rho + 68GA + DOTAP,Other,IO,Other,Micelles - PEG + phospholipid,,5 μg of CpG; 5 μg of OVA and ca. 6.9 μg of IONP per mice,No info,No info,No info,No info,Allograft heterotopic,Skin,2,100,,,,,,,Immunotherapy,,Theragnostics,Immunization studies,PET/SPECT,0,2000,100,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23343632,Biomaterials,2013,10.1016/j.biomaterials.2013.01.014,Inorganic,Iron_oxide,Systemic,IV,,24.4,,-28.6,Spherical,Polymer-mAb,PEG linkers + DOPA + NOTA + Affibody + 64Cu,None,,Iron oxide,AU-IONPs,,10 mg Fe/Kg,No info,4.6,No info,No info,Xenograft heterotopic,Skin,1,#DIV/0!,436.6666667,123.75,39.58333333,Liver,Kidney,Heart,,,Diagnostic,,MRI + PET,,,#DIV/0!,,1.9,20.96,,1.86,,5.94,,,,4.8,0,39.58333333,436.6666667,0,38.75,0,123.75,0,0,0
29111150,J Control Release,2017,10.1016/j.jconrel.2017.10.037,Inorganic,Iron_oxide,Systemic,IV,,244.6,,-17,Spherical,Polymer,chitosan derivative called zwitterionic chitosan + DOPA,Other,IO,Polymer,PLGA NPs,,5 mg Fe/Kg,No info,No info,No info,No info,Xenograft heterotopic,Colon,1,#DIV/0!,,,,,,,,,Diagnostic,,MR imaging,,,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21257200,Biomaterials,2011,10.1016/j.biomaterials.2010.12.055,Inorganic,Iron_oxide,Systemic,IV,,325.8,,-37.3,Spherical,None,,Other,IO + QDs,Polymer,PLA-TPGS,,6 mg Fe/Kg,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,#DIV/0!,1211.465893,963.8606676,737.3004354,Spleen,Liver,Kidney,,,Diagnostic,,MRI + Fluorescence,,,#DIV/0!,,46.81,66.41,83.47,6.89,,50.8,,,,6.89,0,679.3904209,963.8606676,1211.465893,100,0,737.3004354,0,0,0
26065316,ACS Appl Mater Interfaces,2015,10.1021/acsami.5b02077,Inorganic,Iron_oxide,Local,Intratumoral,,No info,,No info,Other,None,,Polymers,IO coated with PEG,Other,Calcium magnetic cement ,24,,No info,No info,No info,No info,Xenograft heterotopic,Breast,1,100,,,,,,,Magnetic Field,alternating magnetic field - Hyperthermia,Therapy,,None,0,6.5,100,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26471016,Nanoscale,2015,10.1039/c5nr05844a,Inorganic,Iron_oxide,Local,Intratumoral,,18.9,,No info,Spherical,Other,OA + p(HEMA-co-DMA) + BTZ,None,,Iron oxide,,40,,No info,No info,No info,No info,Allograft heterotopic,Skin,1,77.52451655,,,,,,,Magnetic Field + Chemotherapy,AC magnetic field - Hyperthermia,Therapy,,None,947,4213.48,77.52451655,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23876757,Biomaterials,2013,10.1016/j.biomaterials.2013.07.012,Inorganic,Iron_oxide,Systemic,IV,,,"21,9 - without coating",-10,Spherical,Polymer-mAb,Polynucleotide + 5-FU + PEG + Antibody,None,,Iron oxide,,,5 mg Fe/kG,No info,42.17,No info,No info,Allograft heterotopic,Other,4,100,26.91486839,3.153900877,,Spleen,Brain,,Magnetic Field + Chemotherapy,alternating magnetic field - Hyperthermia,Therapy,,None,0,1500,100,,,,11.35,,1.33,,,,,42.17,0,0,0,26.91486839,0,3.153900877,0,0,0,0
