PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor_Vol_Reduction_(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Therapy,Study strategy,Imaging,Treated tumor,Control tumor,Tumor_Reduction_(%),Obs,Muscle,Heart,Liver,Spleen,Lung,Brain,Kidney,Bladder,Skin,Colon,Tumor,Ratio - Muscle,Ratio - Heart,Ratio - Liver,Ratio - Spleen,Ratio - Lung,Ratio - Brain,Ratio - Kidney,Ratio - Bladder,Ratio - Skin,Ratio - Colon,,,,,,,,,,,,,,,,,,,,,,,
29963847,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b08574,Inorganic,Silica,Local,Intratumoral,324,,22,Spherical,Polymer,Polyethylene glycol and Polyethylenimine ,Drugs,Doxorubicin and FITC (fluorophore),Silica,,,Not available,,,,,Xenograft orthotopic,Breast,7,#VALUE!,Not available ,Not available ,Not available ,Not available ,Not available ,Not available ,Photothermal + Chemotherapy,Theragnostics,Fluorescence,Not available,Not available ,#VALUE!,They show only pictures of the tumors,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29706855,Adv Funct Mater,2018,10.1002/adfm.201704623,Inorganic,Silica,Systemic,IV,130 x 60,length x width ,0,Rod,Polymer-mAb,Polyethylene glycol and HER-2 antibody ,Drugs,Bismuth sulfide mesoporous silica core shell NPs. Doxorubicin loaded,Other,,,Not available,Not available,Not available,Not available,Not available,Allograft orthotopic,Breast,Not available,99.98344371,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal + Chemotherapy,Theragnostics,CT imaging,0.2,1208,99.98344371,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
26763377,J Control Release,2016,10.1016/j.jconrel.2015.12.055,Inorganic,Silica,Systemic,IV,150,,-22,Spherical,Polymer-Drugs,Chitosan and Urokinase plasminogen activator,Drugs,Gemcitabine,Silica,,Not available,Not available,Not available,Not available,Not available,Not available,Allograft orthotopic,Pancreas,Not available,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Diagnostic,Other,Not available,Not available ,#VALUE!,Multispectral optoacoustic tomography but no therapy data available ,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28363770,Nanomedicine,2017,10.1016/j.nano.2017.03.014,Inorganic,Silica,Local,Other,75.4,,-13.5,Spherical,Polymer-glycosides,Polyethylene glycol-Lectin (UEA1),Other,FITC,Silica,,Not available,Not available,Not available,Not available,Not available,Not available,Chemically-induced,Colon,1,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,,Diagnostic,Fluorescence,Not available,Not available ,#VALUE!,Fluorescent NP for endoscopic detection,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30882830,Nanoscale,2019,10.1039/c9nr00918c,Inorganic,Silica,Systemic,IV,196.9,,"-24,8",Spherical,Polymer,Hyaluronic acid,Other,Manganese dioxide NP,Silica,,25,Not available,Not available,Not available,Not available,Not available,Allograft heterotopic,Breast,1,96.61016949,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal + Radiotherapy,Theragnostics,CT/MR/Optoacustic,0.2,5.9,96.61016949,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
27441571,J Am Chem Soc,2016,10.1021/jacs.6b04299,Inorganic,Silica,Systemic,IV,187,,Not available,Spherical,Polymer,Polyethyle glycol,Drugs,doxorubicin and Manganese ,Silica,,2.5,of Doxorubicin (LC and EE not available),Not available,Not available,Not available,Not available,Xenograft heterotopic,Liver,1,49.1622575,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Theragnostics,MR imaging,1153,2268,49.1622575,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28118704,ACS Appl Mater Interfaces,2017,10.1021/acsami.6b15185,Inorganic,Silica,Systemic,IV,200,,Not available (supporting info only),Spherical,Other,PEG and Gold nanostars,Other,Perfluorohexane ,Silica,,32 mM,of Gold (LC/EE not available),Not available,Not available,Not available,Not available,Xenograft heterotopic,Brain,1,99.49109415,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal,Theragnostics,US/CT/Photoacustic,0.2,39.3,99.49109415,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31773941,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b19446,Inorganic,Silica,Systemic,Sub-cutaneous,200,,51.1,Spherical,Polymer,polyethylenimine ,Proteins/Peptides,Peptide Trp2 (melanoma-associated peptide),Silica,,35,,Not available,Not available,Not available,Not available,Allograft orthotopic,Skin,3,87.9342723,Not available,Not available,Not available,Liver ,Kidney,,Immunotherapy ,Therapy,,257,2130,87.9342723,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29058865,ACS Appl Mater Interfaces,2018,10.1021/acsami.7b14362,Inorganic,Silica,Systemic,IV,<10,,Not available,Spherical,Polymer,"PEG , alpha MHS and zirconium-89",Other, Fluorophore Cy5,Silica,,Not available,,Not available,5,Not available,Not available,Allograft orthotopic,Skin,1,#VALUE!,2.5,Not available,Not available,Liver,,,,Diagnostic,PET,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
26404897,Angew Chem Int Ed Engl,2016,10.1002/anie.201506179,Inorganic,Silica,Systemic,Sub-cutaneous,200,,-25,Spherical,None,,Other,Lewis lung carcinoma cell fragments,Silica,,50,,Not available,Not available,Not available,Not available,Allograft heterotopic,Lung,3,99.09090909,Not available,Not available,Not available,Not available,Not available,Not available,Immunotherapy ,Therapy,,28,3080,99.09090909,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30566326,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b19172,Inorganic,Silica,,,,Not silica NP,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,Therapy,,,,#DIV/0!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29268142,Biomaterials,2018,10.1016/j.biomaterials.2017.12.003,Inorganic,Silica,Systemic,IV,100 x 56,lenght x width,"21,2",Rod,Polymer,"Silica, PEG and -betaCyclodextrin and RLA (cell penetrating peptide)",Other,Gold,Gold,,20,Not available,Not available,Not available,Not available,Not available,Xenograft heterotopic,Breast,8,81.99608611,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal + Photodynamic therapy,Therapy,,92,511,81.99608611,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
26554664,Nanoscale,2016,10.1039/c5nr06305a,Inorganic,Silica,Systemic,IV,100,,Not available,Spherical,Antibody,Mab198.3,Drugs,Doxorubicin and methylene blue,Silica,,33,Not available,Not available,Not available,Not available,Not available,Xenograft heterotopic,Colon,9,96,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,,0.02,0.5,96,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29920061,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b06125,Inorganic,Silica,,,,Not silica NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29266476,Adv Mater,2018,10.1002/adma.201704367,Inorganic,Silica,Systemic,IV,150,,0.5,Spherical,Other,Copper sulfide NP and PEG10k ,Drugs,Porphyrin (TCPP) and Zirconium-89,Silica,,5,,,5.57,,,Allograft heterotopic,Breast,1,83.65384615,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal + Photodynamic therapy,Theragnostics,Other,1.7,10.4,83.65384615,"Imaging by PET, fluorescence, Cerenkov Luminescence and Cerenkov resonance energy transfer",,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30563320,ACS Nano,2019,10.1021/acsnano.8b07045,Inorganic,Silica,Systemic,IV,220,,8,Spherical,Polymer-Nucleic acid,Glycol chitosan Polyethylene glycol and CpG,Drugs,Chlorine e6,Silica,,62.5,Not available,Not available,Not available,Not available,Not available,Allograft orthotopic,Skin,1,79.92395437,,,,,,,Photodynamic + Immunotherapy,Therapy,,264,1315,79.92395437,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
23681931,Adv Mater,2013,10.1002/adma.201205292,Inorganic,Silica,,,,Review,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30058139,Small,2018,10.1002/smll.201801851,Inorganic,Silica,Systemic,IV,>60 nm,Final sizeafter functionalization is not mentioned ,-25.1,Other,Polymer-Drugs,PEG and Chlorine e6 ,Other,Core: Platinum with a shell of gold,Other,,13.6,,,Not available,Not available,Not available,Xenograft heterotopic,Breast,1,98.31932773,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,,0.2,11.9,98.31932773,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31840066,Sci Adv,2019,10.1126/sciadv.aax5208,Inorganic,Silica,Systemic,Sub-cutaneous,<10 nm,,Not available,Spherical,Polymer-Peptides,PEG and several peptides for melanoma targeting ,Drugs,Fluorescent dyes andf Iodine-124,Silica,,Not available,Not available,Not available,Not available,Not available,Not available,Spontaneous,Skin,1,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,Not available ,Diagnostic,PET/CT/Fluorescence,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30566319,ACS Nano,2019,10.1021/acsnano.8b05639,Inorganic,Silica,Systemic,IV,259,,22.6,Spherical,Polymer-Nucleic acids,PEG and siRNA,Drugs,Doxorubicin,Silica,,15.9,Not available,Not available,Not available,Not available,Not available,Xenograft orthotopic,Breast,9,76.89713322,Not available,Not available,Not available,Not available,Not available,Not available,Not available ,Therapy,,137,593,76.89713322,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29085938,Nanoscale,2017,10.1039/c7nr05450e,Inorganic,Silica,Systemic,IV,169.2,,-8.65,Spherical,Polymer-Drugs,PEG-folic acid,nucleic acids-drugs,siRNA and Doxorubicin,Silica,,54,Not available,Not available,Not available,Not available,Not available,Xenograft heterotopic,Breast,4,78.46994536,Values not available but NP decreased off targted accumulation compared to free drug,,,Liver,Kidney ,Lung,Gene Therapy + Chemoterapy,Therapy,,197,915,78.46994536,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28787664,Biomaterials,2017,10.1016/j.biomaterials.2017.07.037,Inorganic,Silica,Local,Intratumoral,165,,Not available ,Spherical,Polymer,PEG,None,,Silica,,0.9 ,of Si,Not available,Not available,Not available,Not available,Allograft orthotopic,Breast,1,100,Not available,Not available,Not available,Not available,Not available,Not available,Not available ,Theragnostics,Photoacustic,0,9.4,100,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
25196485,Small,2015,10.1002/smll.201400765,Inorganic,Silica,Systemic,IP,108,,Not available ,Spherical,None,,Drugs,Doxorubicin,Silica,,0.25,mg/ml/mouse,Not available,Not available,Not available,Not available,Xenograft heterotopic,Pancreas,8,65.73311367,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,,208,607,65.73311367,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30141893,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b11408,Inorganic,Silica,Systemic,IV,50,roughly (DLS data only in SI),Not available ,Spherical,Other,Ultrasmall manganese oxide ,Drugs,Doxorubicin,Silica,,2,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Cervix,1,#VALUE!,Not available,Not available,Not available,Not available,Not available,,Chemotherapy,Theragnostics,MR imaging,Not available,Not available ,#VALUE!,In vivo therapy data is not available,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30730070,Adv Mater,2019,10.1002/adma.201807888,Inorganic,Silica,Systemic,Not specified,293,,-28.3,Spherical,Other,Cancer cell membrane ,nucleic acids,DNA probe and GSH-probe attached to Si NP and coated with cancer cell membrane ,Silica,,Not available,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Breast,Not available,#VALUE!,Not available,Not available,Not available,Not available,Not available,,,Diagnostic,Photoacustic,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28398453,Nanoscale,2017,10.1039/c7nr00377c,Inorganic,Silica,Systemic,IV,191,,8,Spherical,Polymer-Nucleic acids,Cyclodextrin b-grafted polyethylenimine ,nucleic acids-drugs,Doxorubicin inside Si NP and SiRNA complexed on the surface,Silica,,40.9,,Not available,Not available,Not available,Not available,Xenograft orthotopic,Breast,4,68.10490694,60.3,10.5,10.1,Liver,Kidney,Lung,Chemotherapy + Gene therapy,Therapy,,377,1182,68.10490694,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30594744,Biomaterials,2019,10.1016/j.biomaterials.2018.12.004,Inorganic,Silica,Systemic,IV,127,,7.9,Spherical,Polymer,Iron Oxiden NP and PEG,Drugs,Cisplatin,Silica,,2,,Not available,Not available,Not available,Not available,Xenograft orthotopic,Cervix,Not available,70.40816327,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,MR imaging,2.9,9.8,70.40816327,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
21756949,J Control Release,2011,10.1016/j.jconrel.2011.06.039,Inorganic,Silica,Systemic,IV,102,,-18.1,Spherical,Drugs,Camptohecin,Drugs,Camptothecin attached on the surface of the Si NP,Silica,,17,,Not available,0.83,Not available,Not available,Xenograft heterotopic,Colon,6,33.18681319,3.24,0.94,0.25,Liver,Spleen ,Kidney,Chemotherapy,Therapy,,608,910,33.18681319,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31048083,Nanomedicine,2019,10.1016/j.nano.2019.04.005,Inorganic,Silica,Systemic,IV,124,,Not available,Spherical,Peptide,RGD-Acrk,None,No loading ,Silica,,59,,Not available,Not available,Not available,Not available,Allograft orthotopic,Breast,1,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,,Diagnostic,Fluorescence,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29501970,Biomaterials,2018,10.1016/j.biomaterials.2018.02.043,Inorganic,Silica,Systemic,IV,136,,,Rod,Polymer,Silica coating and PEG,Drugs,Doxorubicin,Gold,,13.6,,,10,Not available,Not available,Allograft orthotopic,Breast,6,93.1283906,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal + Chemotherapy,Theragnostics,PET/Photoacustic,76,1106,93.1283906,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
29452948,Biomaterials,2018,10.1016/j.biomaterials.2018.02.019,Inorganic,Silica,Local,Intratumoral,128,,10.8,Spherical,Polymer-Nucleic acids, PEG-Folate and SiRNA,Drugs,Uppcoversion NP coated wit mesoporous silica layer and hypocrelin A (photosensitizer),Other,,2,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Cervix,2,79.87421384,Not available,Not available,Not available,Not available,Not available,Not available,Photodynamic therapy,Therapy,,0.32,1.59,79.87421384,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
26960989,Nanoscale,2016,10.1039/c5nr08878j,Inorganic,Silica,Systemic,IV,43.3,,-23.4,Spherical,Polymer-Proteins,"Gadolinium-DOTAGA, PEG and RGD ligand",None,,Silica,,Not available,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Brain,Not available,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,,Diagnostic,MRI/Fluorescence,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30799620,Nano Lett,2019,10.1021/acs.nanolett.9b00364,Inorganic,Silica,Systemic,IV,236,,22.1,Spherical,Polymer-Peptides,PEG-RGD (liquid metal NP coated with Silica layer),Other,Galium oxide liquid metal coated with silica layer,Other,,,,Not available,Not available,Not available,1.04,Xenograft heterotopic,Brain,7,63.84479718,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,,205,567,63.84479718,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
24028896,Nanomedicine,2014,10.1016/j.nano.2013.08.008,Inorganic,Silica,,,,Review,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28842375,Nanomedicine,2017,10.1016/j.nano.2017.08.006,Inorganic,Silica,Systemic,Other,407,Systemic injection (intra-ocular),-7.92,Spherical,Nucleic acid,MUC1 aptamer and APTES,Drugs,Safranine O or doxorubicin and Tecnecium 99m,Silica,,Not available,,Not available,18.3,Not available,Not available,Xenograft heterotopic,Breast,Not available,#VALUE!,22,23,8.2,Right kidney,Left Kindey,Liver,Chemotherapy,Therapy,CT imaging,Not available,Not available ,#VALUE!,No in vivo therapeutic studies. Only in vivo imaging ,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
27162075,Biomaterials,2016,10.1016/j.biomaterials.2016.04.030,Inorganic,Silica,Systemic,IV,60,,-73.4,Spherical,Polymer,Hyaluronan,Drugs,"Doxorubicin, Inodcyanin green and fullerene (core)",Other,,3,,Not available,Not available,Not available,Not available,Xenograft orthotopic,Breast,1,99.96398559,Not available,Not available,Not available,Not available,Not available,Not available,Photothermal + Photodynamic therapy,Therapy,,0.3,833,99.96398559,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
27271875,Nanoscale,2016,10.1039/c6nr03525f,Inorganic,Silica,Systemic,Sub-cutaneous,110,,27.51,Spherical,Polymer,"Rotaxane , alpha-cyclodextrin and benzoquinone stopper at the end of an alkyne stalk",Drugs,Doxorubicin,Silica,,136,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Lung,3,85.10028653,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,,0.52,3.49,85.10028653,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
28370987,Small,2017,10.1002/smll.201604228,Inorganic,Silica,Systemic,IV,600,at pH 5; 654 at pH 8,Not available,Spherical,Peptide,"Folate, Chitosane and Nuclear Localization Peptides",Drugs,Doxorubicin/Ultrassound triggered release,Silica,,,,"0,76x10-6 M",Not available,Not available,Not available,Xenograft heterotopic,Pancreas,5,87.65432099,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Therapy,,0.1,0.81,87.65432099,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
31103947,Biomaterials,2019,10.1016/j.biomaterials.2019.05.010,Inorganic,Silica,Systemic,IP,111.6,,-37.5,Other,Other,Silica coating,Other,Upconversion NP and lanthanide,Other,,136,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Colon,1,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,,Diagnostic,Upconversion Luminescence,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
21906804,Biomaterials,2011,10.1016/j.biomaterials.2011.08.068,Inorganic,Silica,No in vivo,No in vivo,213,,17.7,Spherical,Polymer,Polyethylenimine ,nucleic acids,BCl-2 and EGFP siRNA,Silica,,Not available,,,No in vivo ,No in vivo ,No in vivo ,No in vivo ,Lung,No in vivo ,#VALUE!,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,No in vivo ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
27016140,J Control Release,2016,10.1016/j.jconrel.2016.03.030,Inorganic,Silica,Systemic,IV,150,,-36,Spherical,Other,Silica,Drugs,Gemcitabine and Doxorubicin in Gold custers of Bovine Serum Albumin carried by Mesoporous silica NP,Gold,,Not available,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Pancreas,1,#VALUE!,Not available,Not available,Not available,Not available,Not available,Not available,Chemotherapy,Diagnostic,Fluorescence,Not available,Not available ,#VALUE!,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
30848541,Adv Mater,2019,10.1002/adma.201808024,Inorganic,Silica,Systemic,IV,101.2,,6.7,Spherical,Polymer-Peptides,"PEG, RGD and Rose bengal (photosensitizer)",Other,"Zinc, Manganese",Silica,,20,,Not available,Not available,Not available,Not available,Xenograft heterotopic,Brain,2,97.49373434,Not available,Not available,Not available,Not available,Not available,Not available,Photodynamic therapy,Theragnostics,CT imaging,0.2,7.98,97.49373434,Photdynamic Therapy,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
