PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_(nm),Size details,Zeta_Potential_(mV),Shape,Coating,Coating details,Loading,Loading details,Core,Core details,Dose_(mg/kg),Dose_other data,IC50,Delivery_Efficiency_(%ID/g),Distribution Half-life_(h),Elimination Half-life_(h),Tumor_model,Cancer_type,No._Days_dosing,Tumor volume (control),Tumor volume (treated),Tumor_Vol_Reduction_(%),Tumor Accumulation,Muscle Accumulation,Muscle (%),Heart Accumulation,Heart (%),Liver Accumulation,Liver (%),Spleen Accumulation,Spleen (%),Lung Accumulation,Lung (%),Brain Accumulation,Brain (%),Kidney  Accumulation,Kidney (%),Bladder Accumulation,Bladder (%),Skin Accumulation,Skin (%),Intestine Accumulation,Colon (%),Stomach Accumulation,Stomach (%),Off_target_1_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation_(%),Off_target_2_accumulation,Off_target_3_accumulation_(%),Off_target_3_accumulation,Study strategy,Therapy,Imaging,Notes
30668088,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b19565,Inorganic,Gold,Systemic,IV,210,,-28.6,Rod,Other,Meso-tetra-(4-sulfonatophenyl) porphyrin-Gadolinium (TTPS4-Gd),None,,Silica,Mesoporous silica with gold nanoshells,25,, ,9.08,,,Allograft heterotopic,Breast,,7.185,0.497,93.1,9.1,,,4.61,50.8,35.82,394.5,28.94,318.7,7.87,86.7,,,2.48,27.3,,,,,,,,,394.5,Liver,318.7,Spleen,86.7,Lung,Theragnostics,Photodynamic + Photothermal therapy,Multispectral optoacoustic tomography + MIR + CT + Near infra-red fluorescence,
27619238,Biomaterials,2016,10.1016/j.biomaterials.2016.08.051,Inorganic,Gold,Local,Intratumoral,10,,34,Spherical,Polymer,PEG-Lanthanide ion,None,,Gold,,,3 mg/ml,,,,,Xenograft heterotopic,Breast,1,2559.8,70.1,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,MRI + CT,
24927683,Biomaterials,2014,10.1016/j.biomaterials.2014.05.046,Inorganic,Gold,Systemic,IV,3.3,,,Spherical,Polymer,"Amine-terminated G5 PAMAM dendrimers sequentially conjugated with FI, PEGylated a-TOS, and PEGylated FA (G5.NH2-FI-(PEG-TOS)-(PEG-FA))",,,Gold,,,0.1 M (+10 mg/kg α-TOS),19.2 µM,,,,Xenograft heterotopic,Brain,7,11.84,5.5,53.5,22.8,,,1.09,4.8,87.91,385.7,411.32,1804.8,10.85,47.6,,,3.26,14.3,,,,,,,,,1804.8,Spleen,385.7,Liver,47.6,Lung,Theragnostics,Other,CT,
29125675,Angew Chem Int Ed Engl,2018,10.1002/anie.201709648,Inorganic,Gold,Local,Intratumoral,See size note,"55 nm long, 20 nm wide",,Rod,Other,Graphitic shell,Other,Pyrene-aspirin,Gold,,,1.5 mg/ml,,,,,Allograft heterotopic,Breast,1,1217.28,161.61,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,None,
30457139,Nanoscale,2018,10.1039/c8nr03895c,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,No in vivo studies
27552319,Biomaterials,2016,10.1016/j.biomaterials.2016.08.014,Inorganic,Gold,Systemic,IV,35.6,,-24.3,Star,Polymer-Drugs,PEG-Mitoxantrone,,,Gold,,,200 ug/ml,,,,,Xenograft orthotopic,Lung,1,,,,95.5,,,15.69,16.4,16.98,17.8,3.51,3.7,,,1.66,1.7,5.35,5.6,,,,,1.85,1.9,,,17.8,Liver,16.4,Heart,5.6,Kidney,Theragnostics,Chemotherapy,Raman,
22841913,Nanomedicine,2013,10.1016/j.nano.2012.06.004,Inorganic,Gold,,,,,,,,,,,Gold,,,,,,,,Xenograft orthotopic,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,,CT,The authors evaluated the injection of gold NP-loaded glioma cells in the mice to assess their influence in tumor development
21723891,J Control Release,2011,10.1016/j.jconrel.2011.06.004,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review Article
28741689,Adv Mater,2017,10.1002/adma.201701146,Inorganic,Gold,Systemic,IV,38.7,,,Spherical,Peptide,Gold NPs + tumor targeting affibody peptide + His6-spacer-Tyr6,None,,Other,HBV capsid,,1.5 ug Au in 100 ul PBS,,,,,Xenograft heterotopic,Breast,1,10.11,0.003,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Magnetic hyperthermia,MRI,
29425846,Biomaterials,2018,10.1016/j.biomaterials.2018.01.050,Inorganic,Gold,Systemic,IV,23,,-10.2,Spherical,Proteins,Glutathione S-transferase + Gd,None,,Gold,,20,,,,,,Xenograft heterotopic,Cervix,1,,,,8.8,,,4.34,49.5,124.6,1422.4,24.98,285.2,15.74,179.7,,,7.15,81.6,,,,,3.13,35.7,,,1422.4,Liver,285.2,Spleen,179.7,Lung,Other,None,MRI + CT,
28049064,Biomaterials,2017,10.1016/j.biomaterials.2016.12.027,Inorganic,Gold,Local and systemic,IV and intratumoral,200,,,Spherical,None,,None,,Alloy,Gold + Gadolimium,,"0.11 M Au, 150 ul (CT); 5 mM Gd, 150 ul (MRI); 0.11 M, 50 ul (Fluorescence)",,,,,Xenograft heterotopic,Lung,1,,,,701,,,69.79,10,231.58,33,85.42,12.2,112.49,16,,,231.25,33,,,,,,,,,33,Liver,33,Kidney,16,Lung,Diagnostic,None,Fluorescence + MRI + CT,
25652893,Nanomedicine,2015,10.1016/j.nano.2014.12.016,Inorganic,Gold,Systemic,IV,,,-2.2,Rod,Polymer-Drugs,PEG + Goserelin,None,,Gold,,10,,,,,,Xenograft heterotopic,Prostate,1,4.47,3.09,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Radiotherapy,None,
30359756,Nanomedicine,2019,10.1016/j.nano.2018.10.004,Inorganic,Gold,Systemic,IV,6.5,,0.098,Spherical,Proteins,Glutathione S-transferase + cNGR peptide (cyclic Asn-Gly-Arg),None,,Alloy,Gold + Gadolimium,,"Au3+ concentration = 5 mM, Gd3+ concentration = 16 mM, 200 μL",,17.73,,,Allograft heterotopic,Breast,1,,,,17.73,,,0.74,4.2,4.45,25.1,2.97,16.8,4.78,27,,,34.56,194.9,,,,,,,,,194.9,Kidney,27,Lung,25.1,Liver,Diagnostic,None,MRI + CT,
28107631,ACS Nano,2017,10.1021/acsnano.6b06658,Inorganic,Gold,Systemic,IV,63.5; See size note,Length = 39.6 nm; Width = 10.5 nm,-20.4,Rod,Polymer-Drugs,Hyaluronic acid + Diclofenac,None,,Gold,,,200 ug/ml Gold Nanorods + 0.8 nM Diclofenac,,23.2,,,Xenograft heterotopic,Cervix,2,13.97,0.29,97.9,23.2,,,3.92,16.9,28.88,124.5,27.36,117.9,5.38,23.2,1.66,7.2,4.12,17.8,,,,,,,,,124.5,Liver,117.9,Spleen,23.2,Lung,Therapy,Photothermal therapy,None,
29058874,ACS Appl Mater Interfaces,2017,10.1021/acsami.7b14851,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No in vivo studies
27236844,Biomaterials,2016,10.1016/j.biomaterials.2016.05.017,Inorganic,Gold,Systemic,IV,3.06,,-17.76,Spherical,Nucleic acid-Drugs,Aptamer (AS1411) + cyclic RGD + MPA dye + Doxorubicin,None,,Gold,,0.005 (Doxorubicin equivalent),,,,,,Xenograft heterotopic,Brain,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence,
27050622,Nano Lett,2016,10.1021/acs.nanolett.6b00599,Inorganic,Gold,Systemic,IP,20.2,,,Spherical,Other,Tetraazacyclododecanetriacetic acid (DO3A) + Diethylenetriaminepentaacetic acid (DTPA) + Gadolinium,None,,Gold,,,8.8 umol/kg; 5.5 umol/kg,,,,,Not enough information provided,Pancreas,1,,,,550,,,,,700,127.3,400,72.7,,,,,,,,,,,,,,,127.3,Liver,72.2,Spleen,,,Diagnostic,None,MRI,
31573175,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b14186,Inorganic,Gold,Systemic,IV,33,,-34,Spherical,Nucleic acid,ATP aptamer + rC-DNA + rG-DNA,Drugs,Doxorubicin,Gold,,,8 nmol/kg (appoximately 5 mg Doxorubicin/kg),1.74 uM,,,,Xenograft heterotopic,Cervix,12,4.13,0.56,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal + Chemotherapy,Thermal imaging,
28849917,ACS Appl Mater Interfaces,2017,10.1021/acsami.7b09458,Inorganic,Gold,Systemic,IV,,,-32.23,Rod,Other,Erythrocyte membrane,None,,Gold,,,"125 ug (Au content), 150 ul",,,,,Xenograft heterotopic,Pancreas,1,1646.71,280.69,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal therapy,Ultrasound + Photoacoustic,
29963847,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b08574,Inorganic,Gold,Local,Intratumoral,324,,-18,Spherical,Polymer-Drugs,Mesoporous silica + PEG + Doxorubicin,None,,Silica,Fluorescent silica NPs + patchy gold,,"5 mg/ml, 50 ul",,,,,Not enough information provided,Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Photothermal + Chemotherapy,Fluorescence,
24842534,ACS Appl Mater Interfaces,2014,10.1021/am500302t,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No in vivo studies
27043769,Biomaterials,2016,10.1016/j.biomaterials.2016.03.030,Inorganic,Gold,Systemic,IV,13,,,,Peptide,Cy5.5 modified peptide chains,None,,Gold,,,"50 nM, 200 ml",,,,,Xenograft heterotopic,Liver,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,None,Fluorescence,
29140684,ACS Nano,2017,10.1021/acsnano.7b07486,Inorganic,Gold,Systemic,IV,See size note,200-250 nm lenght; 100+120 nm width,-26.1,Rod,Polymer,Mesoporous silica + PEG + Folic acid,Drugs,Doxorubicin,Gold,,5,,3.83 ug/ml,18.4,,,Xenograft heterotopic,Liver,6,1.19,0.02,98.3,18.4,,,9.25,50.3,23.76,129.1,34.71,188.6,10.67,58,,,17.21,93.5,,,,,,,,,188.6,Spleen,129.1,Liver,93.5,Kidney,Theragnostics,Radiotherapy + Chemotherapy,CT,
31588724,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b15751,Inorganic,Gold,Systemic,IV,See size note,140.5 nm lenght; 65.9 nm width,23.3,Rod,Peptide-Drugs,Mesoporous silica + cisplatin + Avastin + AE105 peptide,None,,Gold,,10,,,,,,Xenograft heterotopic,Cervix,1,47.24,5.56,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal + Chemotherapy,Thermal imaging,
30964632,ACS Appl Mater Interfaces,2019,10.1021/acsami.8b21679,Inorganic,Gold,Systemic,IV,173.7,,7.6,Spherical,Polymer-peptide,"Dendrimer + PEG + RGD (arginine-glycine-aspartic acid) peptide + 2,2′,2″-(10-(2-(2,5-dioxopyrrolidin-1-yloxy)-2-
oxoethyl)-1,4,7,10-tetraazacyclododecane-1,4,7-triyl) triacetic
acid/Gd(III) (DOTA/Gd(III))",None,,Gold,,,"100 ul; 0.1 M Au, 10 mM Gd",,,,,Xenograft heterotopic,Lung,1,,,,51.46,,,31.75,61.7,66.79,129.8,435.77,846.8,,,,,37.23,72.3,,,,,,,,,846.8,Spleen,129.8,Liver,72.3,Kidney,Imaging,None,MRI + CT,
27991503,Nat Commun,2016,10.1038/ncomms13818,Inorganic,Gold,Systemic,IV,18.1,,-32.7,Spherical,Polymer-mAb,PEG + Trastuzumab,None,,Gold,,,,,,45.98,,Xenograft heterotopic,Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Immunotherapy,None,
29791136,ACS Nano,2018,10.1021/acsnano.8b03212,Inorganic,Gold,Local,Intratumoral,15.7,,4,Spherical,Other,Triphenyl phosphonium,None,,Gold,,,50 ul gold solution (1 g/L Au),,,,,Allograft heterotopic,Breast,1,814.97,250.09,69.3,14.92,,,5.25,35.2,45.75,306.6,14.83,99.4,8.33,55.8,,,4.67,31.3,,,,,,,,,306.6,Liver,99.4,Spleen,55.8,Lung,Theragnostics,Photothermal therapy,Thermal imaging,
27758098,ACS Nano,2016,10.1021/acsnano.6b02231,Inorganic,Gold,Systemic,IP,20,,-44.3,,None,,None,,Gold,,,100 ug of AuNPs in 100 ul,,,,,Xenograft orthotopic,Pancreas,>15,416.11,175.48,57.8,1522.52,,,,,405.41,26.6,450.45,29.6,32.72,2.1,,,6.62,0.4,,,,,,,,,29.6,Spleen,26.6,Liver,2.1,Lung,Therapy,Other,None,
29812909,ACS Nano,2018,10.1021/acsnano.8b01508,Inorganic,Gold,Systemic,IV,100-130,,8.5,Spherical,Polymer,"Dipalmitoylphosphatidylcholine (DPPC) + cholesterol + N,N-bis(2-hydroxyethyl)-N-methyl-N-(2-cholesteryloxycarbonyl aminoethyl) ammonium bromide (BHEM-Chol) + 2-distearoyl-sn-glycero-3-phosphoethanolamine-N-[methoxy(poly(ethylene
glycol))-2000] (DSPE-PEG2000)",None,,Gold,,10,,,7.5,,,Allograft heterotopic,Breast,1,1736.76,128.79,92.6,7.5,,,0.06,0.8,23.69,315.9,3.35,44.7,2.44,32.5,,,5.91,78.8,,,,,,,,,315.9,Liver,78.8,Kidney,44.7,Spleen,Theragnostics,Radiotherapy,MRI + Ultrasound + Fluorescence,
25457979,Biomaterials,2015,10.1016/j.biomaterials.2014.10.065,Inorganic,Gold,Local,Intratumoral,339.4,,-27.7,Star,Polymer,Polyethyleneimine  + Hyaluronic acid,None,,Iron oxide,Iron oxide + gold shell,,0.1 ml PBS with 32 mM Au,,,,,Xenograft heterotopic,Cervix,2,9.39,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,MRI + CT + Photothermal,
30942569,ACS Appl Mater Interfaces,2019,10.1021/acsami.9b05358,Inorganic,Gold,Systemic,IV,144,,,Spherical,Nucleic acid,DNA (poly(C) sequences) + AS1411 aptamers,Drugs,Doxorubicin,Gold,,0.5 (Doxorubicin dose),,0.62 uM,,,,Xenograft heterotopic,Cervix,14,887.73,131.43,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Chemotherapy,None,
30226240,Nanoscale,2018,10.1039/c8nr04437f,Inorganic,Gold,Systemic,IV,See size note,"550 nm (lenght), 55 nm (width)",-39.9,Other,None,,Drugs,Paclitaxel,Alloy,Nitrogen-doped carbon nanotube cups corked with gold,,,,,,,Allograft orthotopic,Skin,1,,,#DIV/0!,0.138,,,0.062,44.9,53.962,39102.9,39.069,28310.9,6.384,4626.1,,,,,,,,,,,,,39102.9,Liver,28310.9,Spleen,4626.1,Lung,Therapy,Immunotherapy,None,
29500979,Biomaterials,2018,10.1016/j.biomaterials.2018.02.032,Inorganic,Gold,Systemic,IV,80,,16.3,,None,,None,Gold nanoclusters + Chlorin e6,Alloy,Gd-doped layered double hydroxide,2 (equivalent to Chlorin e6),,,,,,Xenograft heterotopic,Liver,1,14.92,1.25,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photodynamic therapy,MRI + Fluorescence,
28152380,Biomaterials,2017,10.1016/j.biomaterials.2017.01.007,Inorganic,Gold,Systemic,IV,75,,,Star,Antibody,Nanobodies (2Rb17c and cAbBcII10),None,,Gold,,,200 mL (2.7x10^12 nanostars/mL),,,,,Xenograft heterotopic,Ovary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Other,Photoacoustic,
26897539,Biomaterials,2016,10.1016/j.biomaterials.2016.02.007,Inorganic,Gold,Systemic,IV,8.5,,-30.14,Spherical,Antibody,SM5-1 antibody,None,,Gold,,,1.67 mg NPs per 10 g,,,,,Xenograft heterotopic,Liver,8,343.39,178.88,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Immunotherapy,Luminescence,
28582716,Biomaterials,2017,10.1016/j.biomaterials.2017.05.030,Inorganic,Gold,Systemic,IV,53,,Minus 10 to minus 17,Spherical,Polymer-peptide,PEG + U11 peptide + Cathepsin E-sensitive PDT therapy prodrug +  Cyanine dye Cy5.5,,,Gold,,,2 pmol NPs,,,,,Xenograft orthotopic,Pancreas,1,424.49,14.68,96.5,22.97,,,1.14,5,5.79,25.2,1.29,5.6,1.67,7.3,0.29,1.3,2.29,10,,,,,,,,,25.2,Liver,10,Kidney,7.3,Lung,Theragnostics,Photodynamic + Photothermal therapy,Fluorescence,
29501970,Biomaterials,2018,10.1016/j.biomaterials.2018.02.043,Inorganic,Gold,Systemic,IV,135.9,,-4.3,Rod,Polymer,Mesoporous silica + PEG,Drugs,Doxorubicin,Gold,,,"2 mg/ml, 150 ul",,8.61,9.2,,Allograft heterotopic,Breast,1,1169.09,70.73,93.9,8.61,0.25,2.9,1.61,18.7,13.89,161.3,25.18,292.5,0.96,11.1,0.15,1.7,3.88,45.1,,,2.12,24.6,1.01,11.7,0.45,5.2,292.5,Spleen,161.3,Liver,24.6,Skin,Theragnostics,Photothermal + Chemotherapy,PET + Photoacoustic,
30264982,ACS Appl Mater Interfaces,2018,10.1021/acsami.8b12897,Inorganic,Gold,Local,Intratumoral,18,,29,Spherical,Drugs,Cystamine + Doxorubicin,None,,Gold,,,,,,,,Xenograft heterotopic,Cervix,1,3.08,2.87,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence,
26039633,ACS Nano,2015,10.1021/acsnano.5b01939,Inorganic,Gold,Local,IV,20,,,Spherical,None,,Other,Gold NPs,Gold,Primary human T-cells transduced to express the F4 melanoma-specific TCR and GFP,,16-20x10^6 F4-transduced and GNPs loaded lymphocytes,,,,,Xenograft heterotopic,Skin,,174.92,81.31,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Other,CT + Fluorescence,
28666098,Biomaterials,2017,10.1016/j.biomaterials.2017.06.036,Inorganic,Gold,Systemic,IV,16.3,,,Spherical,Polymer-mAb,PEG + Anti-RhoJ antibody + Iodine,None,,Gold,,,,,19.7,,,Xenograft orthotopic,Breast,2,11.4,0.02,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Radiotherapy,CT,
24115675,Small,2014,10.1002/smll.201301998,Inorganic,Gold,Systemic,IV,82,,-19.2,Spherical,Polymer,PEG + Cy5,None,,Gold,,,1.5x10^11 particles,,,,,Allograft orthotopic,Skin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,None,Fluorescence,Characterization of the distribution of gold nanoparticles within the major immune populations of the spleen
30006596,Nat Commun,2018,10.1038/s41467-018-05118-3,Inorganic,Gold,Local,Intratumoral,165,37.3,,Spherical,Polymer,"Lipid bilayer (1,2-dioleoyl-sn-glycero-3-phosphocholine (DOPC) and 1, 2-di-(9Z-octadecenoyl)-3-trimethylammonium-propane (DOTAP)) + verteporfin + Calcein",,Antisense oligonucleotide complementary to a specific pituitary adenylate cyclase-activating polypeptide (PACAP) receptor (PAC1R) + Doxorubicin,Gold,,10,,,,,,Xenograft heterotopic,Colon,,443.26,112.56,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Gene therapy + Chemotherapy,Fluorescence,
27672010,Small,2016,10.1002/smll.201602526,Inorganic,Gold,Systemic,IV,2.5,,,Spherical,None,,None,,Gold,,,5 mmol/L HAuCl4 (0.1 mL) + 0.1 mL FeCl2 solution (10 mmol/L),,,,,Xenograft heterotopic,Other,1,,,,0.77,,,0.25,32.5,0.49,63.6,0.29,37.7,0.19,24.7,,,0.26,33.8,,,,,,,,,63.6,Liver,37.7,Spleen,33.8,Kidney,Imaging,None,Fluorescence + MRI + CT,
26623481,ACS Nano,2016,10.1021/acsnano.5b05931,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This paper focus on melanoidin for theranostic applications, using only gold nanorods as a comparison control"
26387745,J Control Release,2015,10.1016/j.jconrel.2015.09.029,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review Article
29726109,Small,2018,10.1002/smll.201800740,Inorganic,Gold,Systemic,IV,100,,,Star,Polymer,Silica functionalized with PEG,None,,Gold,,,"3.5×10^-9 M, 150 ul",,,,,Other,Brain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,Optoacoustic Tomography + Raman,
28295679,Adv Mater,2017,10.1002/adma.201603917,Inorganic,Gold,Systemic,IV,20-25,,-16,Spherical,Polymer,PEG,Other,Azide + IR783B + GD-DTPA,Gold,,,0.02 mmol Gd3+/kg,,,,,Xenograft orthotopic,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,None,MRI + Raman,
27016140,J Control Release,2016,10.1016/j.jconrel.2016.03.030,Inorganic,Gold,Systemic,IV,224,,-38,Spherical,Proteins,Bovine serum albumin,Other,Mesoporous silica NPs + Doxorubicin + Gemcitabine,Gold,,,,,,,,Xenograft heterotopic,Pancreas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence,
28991294,Nanoscale,2017,10.1039/c7nr03172f,Inorganic,Gold,Systemic,IP,7.5,,,Spherical,Peptide,KTLLPTPYC peptide sequence,Drugs,Gemcitabine,Gold,,,50 ug (Gemcitabine equivalent),,,,,Xenograft orthotopic,Pancreas,9,430.5,130.75,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Chemotherapy,Luminescence,
27934068,ACS Nano,2016,10.1021/acsnano.6b05070,Inorganic,Gold,Systemic,IV,44.23,,10,Spherical,Drugs,Legumain + Doxorubicin,None,,Gold,,3 (Doxorubicin equivalent),,,7.52,,,Xenograft orthotopic,Brain,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,Fluorescence + Photoacoustic,
30141567,Small,2018,10.1002/smll.201802934,Inorganic,Gold,Systemic,IV,17.5,,-32.5,Spherical,Nucleic acids-peptides,Gold shell + Cy3.5-modified antagomiR-152 + TAT-HA2 peptide + folic acid-mediated cell penetrating peptide,None,,Alloy,Bismuth selenide,6,,,,,,Xenograft heterotopic,Brain,1,616.88,23.38,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal  + Gene therapy,Raman,
26315815,J Control Release,2015,10.1016/j.jconrel.2015.08.037,Inorganic,Gold,Local,Intratumoral,,,,,Drugs,Doxorubicin + azide,None,,Gold,,5 (Doxorubicin equivalent),,,,,,Xenograft heterotopic,Lung,1,3.76,0.45,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Chemotherapy,FTIR + Raman + Fluorescence,
26454052,Biomaterials,2016,10.1016/j.biomaterials.2015.09.038,Inorganic,Gold,Local,Intratumoral,See size note,"30 nm (lenght), 7 nm (width)",-22,Rod,Proteins,Bovine serum albumin,None,,Gold,,,105 ug Au in approximately 1x10^6 macrophages,,,,,Xenograft heterotopic,Liver,1,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,Fluorescence,This study uses macrophages transduced with gold nanorods as a therapeutic application
25354691,Small,2015,10.1002/smll.201402179,Inorganic,Gold,Local,Sub-cutaneous,84,,,,Polymer-peptide,PEG + Ovalbumin peptide + CpG adjuvant,None,,Gold,,,2×10^11 AuNP-OVA and 10^12 AuNP-CpG (equivalent to 50 μg OVA and 4.7 μg CpG),,,,,,Skin,2,111.01,9.42,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Immunotherapy,None,
25988725,Biomaterials,2015,10.1016/j.biomaterials.2015.05.006,Inorganic,Gold,,,186.5,,-4.21,,Polymer-Drugs,PEG + Doxorubicin,None,,Gold,,3 (Doxorubicin equivalent),,,,,,Allograft heterotopic,Breast,6,1373.22,407.28,70.3,2.22,,,0.55,24.8,1.74,78.4,0.43,19.4,0.79,35.6,,,1.49,67.1,,,,,,,,,78.4,Liver,67.1,Kidney,35.6,Lung,Therapy,Chemotherapy,None,
25975831,J Control Release,2015,10.1016/j.jconrel.2015.05.265,Inorganic,Gold,Systemic,IV,149,0.2,-10.8,Spherical,Polymer,PEG + Adenovirus ,None,,Gold,,,1×10^10 Adenovirus equivalent,,,,,Xenograft heterotopic,Liver,1,1222.35,585.49,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy,Ultrasound,None,
24659273,Small,2014,10.1002/smll.201470036,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper not available
24547810,ACS Nano,2014,10.1021/nn405663h,Inorganic,Gold,Systemic,IV,80,,-12.3,Spherical,Polymer,PEG,None,,Silver,Silver with a hollow gold shell,,"200 μL, 2x10^11 particles/mL",,,,,Xenograft heterotopic,Brain,,,,,4.79,,,3.13,65.3,0.46,9.6,0.72,15,3.69,77,4.65,97.1,2.82,58.9,,,,,6.25,130.5,,,130.5,Intestine,97.1,Brain,77,Lung,Therapy,Photothermal therapy,None,
26860283,J Control Release,2016,10.1016/j.jconrel.2016.02.010,Inorganic,Gold,Systemic,IV,184.7,,,Rod,Proteins,Folic acid + Bovine serum albumin,Other,Paclitaxel + Perfluorohexane,Gold,,9 (Paclitaxel dose),,,,,,Xenograft heterotopic,Cervix,3,7.84,0.44,94.4,7.89,,,0.14,1.8,3.88,49.2,1.45,18.4,0.6,7.6,,,0.79,10,,,,,,,,,49.2,Liver,18.4,Spleen,10,Kidney,Theragnostics,Photoacoustic + Chemotherapy,Ultrasound + Photoacoustic,
25054687,ACS Appl Mater Interfaces,2014,10.1021/am504071z,Inorganic,Gold,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,"This paper uses graphene NPs, not gold NPs"
31112176,Nanoscale,2019,10.1039/c9nr02140j,Inorganic,Gold,Systemic,IV,160,,-40.5,Spherical,Proteins,Bovine serum albumin + Gols NPs,None,,Other,Zinc covalent organic frameworks,7.5,,,,,,Xenograft heterotopic,Liver,,28.39,5.82,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theragnostics,Photothermal therapy,Fluorescence,
28953351,ACS Nano,2017,10.1021/acsnano.7b05908,Inorganic,Gold,Systemic,IV,50,,-3.7,Other,Polymer,HS-PEG,None,,Gold,,,100 ul gold nanorings,,14,,,Xenograft heterotopic,Brain,1,40.59,0.21,99.5,14.24,0.65,4.6,2.68,18.8,12.02,84.4,4.78,33.6,4.25,29.8,,,6.66,46.8,,,,,4.68,32.9,3.98,27.9,84.4,Liver,46.8,Kidney,33.6,Spleen,Theragnostics,Photothermal therapy,PET + Photoacoustic + Photothermal,
