PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating,Coating_Number,Total_Coating_Steps,Total_Coating_Steps_Group,Covalent,Electrostatic,Targeting_Type,Bioconjugation_nature,Bioconjugation_tech,PEG_Coat,PEG_Coat_tech,Loading,Loading_Number,Drug type,Dose_(mg/kg),Dose_Group,IC50 ,Delivery_Efficiency_(%ID/g),Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Immune status,Cancer_type,Breast cancer subtype,No._Days_dosing,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Tumor_Vol_Reduction_Group(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation_(%)_group,Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Combined_Therapy1,Combined_Therapy2,Combined_Therapy3,Combined_Therapy_Grouped,Study strategy,Imaging_1,Imaging_2,Imaging_3,Imaging_4,Combined_Imaging_Applications,Combined_Therapy_Applications,Combined_Applications,Combined_Applications_Grouped
23404693,Adv Mater,2013,10.1002/adma.201204623,Inorganic,Gold,Local,Intratumoral,2,Negative,Other,Polymer-Drugs,>1,2,Low,2,0,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,1,Single,92.98246,High,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,Photothermal therapy,None,Multiple,Therapy,Fluorescence,Photoacoustic,Thermal,None,3,2,5,Very High
23419645,Biomaterials,2013,10.1016/j.biomaterials.2013.01.062,Inorganic,Iron_oxide,Systemic,IV,3,Negative,Spherical,Drugs,>1,4,Medium,3,1,Active,Covalent,Covalent - EDC,Non PEGylated,None,None,None,Biologic,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Prostate,,1,Single,NA,NA,NA,NA,NA,NA,Spleen,Liver,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
23465830,Biomaterials,2013,10.1016/j.biomaterials.2013.02.025,Inorganic,Iron_oxide,Systemic,IV,2,Neutral,Spherical,Polymer-mAb,>1,6,High,6,0,Active,Covalent,Covalent - EDC,PEGylated,Covalent - In_Shell,None,None,,10,2,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,Other,None,None,2,0,2,Regular
23465836,Biomaterials,2013,10.1016/j.biomaterials.2013.01.086,Inorganic,Iron_oxide,Local,Intratumoral,1,NA,Spherical,Polymer,>1,2,Low,1,1,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23467400,Nanoscale,2013,10.1039/c3nr00170a,Inorganic,Hybrid,Systemic,IV,NA,NA,Spherical,Polymer,>1,2,Low,1,1,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,1,Xenograft heterotopic,Immunocompromised,Colon,,1,Single,NA,NA,1462.6,779.5,153.4,Very High,Spleen,Liver,Lung,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
23499668,Nanomedicine,2013,10.1016/j.nano.2013.02.010,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Drugs,>1,4,Medium,3,1,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - In_Shell,None,None,Anthracycline,NA,NA,Yes,NA,NA,NA,Allograft heterotopic,Immunocompetent,Breast,Metastatic,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
23519915,Angew Chem Int Ed Engl,2013,10.1002/anie.201207721,Inorganic,Iron_oxide,Systemic,IV,3,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,>1,Anthracycline,0.15,1,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Colon,,2,Multiple,100,Very High,NA,NA,NA,NA,Liver,Kidney,Bladder,Magnetic Hyperthermia,Chemotherapy,None,Multiple,Theragnostic,PET,None,None,None,1,2,3,High
23530622,ACS Nano,2013,10.1021/nn400223a,Inorganic,Gold,Systemic,IV,2,Negative,Spherical,Drugs,1,4,Medium,4,0,Passive,None,None,Non PEGylated,None,None,None,Anthracycline,NA,NA,NA,10.9,Yes,NA,Allograft orthotopic,Immunocompromised,Skin,,4,Multiple,95.5582,High,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,Chemotherapy,None,Multiple,Therapy,None,None,None,None,0,2,2,Regular
23542239,J Control Release,2013,10.1016/j.jconrel.2013.03.016,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer,>1,2,Low,1,1,Passive,None,None,PEGylated,Covalent - In_Shell,Other,1,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompromised,Colon,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,Fluorescence,None,None,2,0,2,Regular
23552843,Nanoscale,2013,10.1039/c3nr00294b,Inorganic,Silica,Systemic,IV,3,Positive,Spherical,Polymer,1,2,Low,1,1,Passive,None,None,Non PEGylated,None,Nucleic acids,1,,20,3,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,5,Multiple,59.70695971,Low,NA,NA,NA,NA,NA,NA,NA,Gene Therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23557859,Biomaterials,2013,10.1016/j.biomaterials.2013.03.027,Inorganic,Gold,Local,Intratumoral,4,Positive,Spherical,Other,1,2,Low,0,2,Passive,None,None,Non PEGylated,None,None,None,,20,3,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Other,,1,Single,83.8,Medium,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,Ultrasound,CT,None,None,2,1,3,High
23557860,Biomaterials,2013,10.1016/j.biomaterials.2013.03.023,Inorganic,Hybrid,Local,Intratumoral,4,Neutral,Other,Polymer,>1,5,High,3,2,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Breast,Metastatic,1,Single,100,Very High,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,Other,None,None,2,1,3,High
23562635,J Control Release,2013,10.1016/j.jconrel.2013.03.029,Inorganic,Iron_oxide,Systemic,IV,4,Negative,Spherical,Vitamins,>1,4,Medium,2,2,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - In_Shell,Other,>1,Anthracycline,NA,NA,Yes,NA,NA,NA,Allograft heterotopic,Immunocompetent,Prostate,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnetic Hyperthermia,Chemotherapy,None,Multiple,Theragnostic,MRI,None,None,None,1,2,3,High
23574400,J Am Chem Soc,2013,10.1021/ja312225b,Inorganic,Silica,Local,Intratumoral,2,NA,Spherical,Polymer-Drugs,>1,3,Medium,0,3,Passive,None,None,Non PEGylated,None,None,None,Alkylating agent,150,4,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,1,Single,67.68953069,Low,NA,NA,NA,NA,Lung,Liver,Kidney,Chemotherapy ,Other,None,Multiple,Theragnostic,MRI,Luminescence,None,None,2,2,4,High
23583039,Biomaterials,2013,10.1016/j.biomaterials.2013.03.009,Inorganic,Gold,Systemic,IV,1,NA,Spherical,Polymer,>1,8,Very High,7,1,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - EDC,None,None,,NA,NA,Yes,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,1,Single,NA,NA,4064.7,3760.3,732.2,Very High,Spleen,Liver,Lung,None,None,None,None,Diagnostic,MRI,CT,None,None,2,0,2,Regular
23591395,Biomaterials,2013,10.1016/j.biomaterials.2013.03.061,Inorganic,Iron_oxide,Systemic,Other,4,NA,Spherical,Polymer-peptide,>1,4,Medium,2,2,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Lung,,1,Single,20.25316456,Low,16.2894623,NA,NA,Low,Liver,Stomach,Spleen,Magnetic Hyperthermia,None,None,None,Theragnostic,Luminescence,None,None,None,1,1,2,Regular
23611451,Biomaterials,2013,10.1016/j.biomaterials.2013.03.078,Inorganic,Iron_oxide,Local,Intratumoral,4,Negative,Other,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Other,>1,,5,1,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Breast,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
23639532,Biomaterials,2013,10.1016/j.biomaterials.2013.04.020,Inorganic,Silica,Systemic,IV,2,Positive,Spherical,Other,1,6,High,4,2,Passive,None,None,Non PEGylated,None,Other,1,,5,1,NA,NA,NA,NA,Allograft heterotopic,Immunocompromised,Lung,,NA,NA,NA,NA,NA,NA,NA,NA,Liver,Kidney ,Lung,None,None,None,None,Diagnostic,Other,MRI,None,None,2,0,2,Regular
23642536,Biomaterials,2013,10.1016/j.biomaterials.2013.04.021,Inorganic,Iron_oxide,Systemic,IV,NA,NA,Spherical,Polymer-Proteins,>1,5,High,5,0,Active,Covalent,Covalent - EDC,PEGylated,Covalent - EDC,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
23643529,Nanomedicine,2013,10.1016/j.nano.2013.04.007,Inorganic,Gold,Local,Other,2,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Radiotherapy,None,None,Single,Therapy,CT,None,None,None,1,1,2,Regular
23687972,J Am Chem Soc,2013,10.1021/ja4013497,Inorganic,Iron_oxide,Local,Intratumoral,1,NA,Spherical,Other,>1,3,Medium,2,1,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,Other,None,None,2,1,3,High
23758591,ACS Nano,2013,10.1021/nn4018922,Inorganic,Iron_oxide,Systemic,IV,2,Negative,Spherical,Polymer-mAb,>1,6,High,5,1,Active,Covalent,Covalent - Disulfide,PEGylated,Covalent - Disulfide,None,None,,5,1,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Breast,Luminal A,1,Single,NA,NA,NA,NA,NA,NA,Liver,Kidney,NA,Other,None,None,None,Therapy,Fluorescence,None,None,None,1,1,2,Regular
23777913,Biomaterials,2013,10.1016/j.biomaterials.2013.05.059,Inorganic,Gold,Systemic,IV,3,Neutral,Spherical,Polymer,>1,2,Low,1,1,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Liver,,1,Single,NA,NA,1850.6,531.5,487.5,Very High,Spleen,Liver,Lung,Photothermal therapy,None,None,Single,Diagnostic,None,None,None,None,0,1,1,Regular
23799860,ACS Nano,2013,10.1021/nn402201w,Inorganic,Gold,Systemic,IV,2,Neutral,Spherical,Other,>1,2,Low,2,0,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,1,Single,47.74576,Low,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23810081,Biomaterials,2013,10.1016/j.biomaterials.2013.06.001,Inorganic,Silica,Local,Intratumoral,NA,NA,Spherical,Other,>1,3,Medium,2,1,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - In_Shell,Drugs,1,,4,1,NA,NA,NA,NA,Allograft orthotopic,Immunocompromised,Skin,,2,Multiple,74.74747475,Low,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23822176,ACS Nano,2013,10.1021/nn4017179,Inorganic,Iron_oxide,Local,Intratumoral,3,NA,Spherical,Polymer-Drugs,>1,4,Medium,1,3,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,Anthracycline,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Breast,Metastatic,1,Single,95.67636596,High,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,Chemotherapy,None,Multiple,Theragnostic,MRI,None,None,None,1,2,3,High
23843254,Small,2013,10.1002/smll.201301093,Inorganic,Silica,Systemic,IV,2,NA,Spherical,Polymer,>1,4,Medium,2,2,Passive,None,None,PEGylated,Covalent - Silane,Drugs,>1,Anthracycline,40,3,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Liver,,3,Multiple,63.24461343,Low,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,Luminescence,None,None,2,1,3,High
23850099,Biomaterials,2013,10.1016/j.biomaterials.2013.06.041,Inorganic,Gold,Local,Other,3,Negative,Spherical,Other,>1,4,Medium,4,0,Active,Covalent,Covalent - EDC,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Lung,,1,Single,85,Medium,NA,NA,NA,NA,NA,NA,NA,Gene therapy,None,None,Single,Therapy,Luminescence,None,None,None,1,1,2,Regular
23851463,Nanoscale,2013,10.1039/c3nr02563b,Inorganic,Silica,Systemic,IV,2,NA,Spherical,Polymer,1,2,Low,2,0,Passive,None,None,PEGylated,Covalent - Silane,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompromised,Other,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Fluorescence,None,None,None,0,1,1,Regular
23871538,Biomaterials,2013,10.1016/j.biomaterials.2013.07.007,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,Polymer,>1,2,Low,0,2,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,10,2,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,1,Single,100,Very High,NA,NA,NA,NA,Liver,Kidney,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None,2,1,3,High
23873020,Nanoscale,2013,10.1039/c3nr01447a,Inorganic,Iron_oxide,Systemic,IV,4,Negative,Spherical,Polymer,>1,3,Medium,2,1,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,20,3,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Brain,,1,Single,100,Very High,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
23873826,Small,2013,10.1002/smll.201301111,Inorganic,Silica,Local,Other,2,Neutral,Other,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Drugs,1,Anthracycline,NA,NA,Yes,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Brain,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23876757,Biomaterials,2013,10.1016/j.biomaterials.2013.07.012,Inorganic,Iron_oxide,Systemic,IV,NA,Neutral,Spherical,Polymer-mAb,>1,4,Medium,3,1,Active,Covalent,Covalent - EDC,PEGylated,Covalent - EDC,None,None,Antimetabolite,NA,NA,NA,42.17,Yes,NA,Allograft heterotopic,Immunocompetent,Other,,4,Multiple,100,Very High,26.91486839,3.153900877,NA,Low,Spleen,Brain,NA,Magnetic Hyperthermia,Chemotherapy,None,Multiple,Therapy,None,None,None,None,0,2,2,Regular
23891514,Biomaterials,2013,10.1016/j.biomaterials.2013.07.027,Inorganic,Silica,Local,Intratumoral,2,NA,Spherical,None,None,0,None,0,0,Passive,None,None,Non PEGylated,None,Drugs,1,,10,2,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Other,,1,Single,100,Very High,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,Photodynamic therapy,None,Multiple,Therapy,None,None,None,None,0,2,2,Regular
23903002,Nat Commun,2013,10.1038/ncomms3266,Inorganic,Iron_oxide,Systemic,IV,2,NA,Other,Other,1,1,Low,0,1,Passive,None,None,Non PEGylated,None,None,None,,2,1,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Liver,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
23920038,J Control Release,2013,10.1016/j.jconrel.2013.07.020,Inorganic,Gold,Systemic,IV,2,NA,Spherical,Polymer,1,1,Low,1,0,Passive,None,None,PEGylated,Covalent - ThiolGold,Drugs,1,Anthracycline,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompromised,Breast,Metastatic,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,Chemotherapy,None,Multiple,Theragnostic,Fluorescence,Photoacoustic,None,None,2,2,4,High
23924214,J Am Chem Soc,2013,10.1021/ja404985w,Inorganic,Silica,Local,Intratumoral,2,Positive,Spherical,Polymer,>1,3,Medium,2,1,Passive,None,None,PEGylated,Others,Other,1,,10.5,3,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Breast,Metastatic,1,Single,100,Very High,NA,NA,NA,NA,NA,NA,NA,Photothermal therapy,Other,None,Multiple,Theragnostic,CT,MRI,Luminescence,None,3,0,3,High
23932250,Biomaterials,2013,10.1016/j.biomaterials.2013.07.070,Inorganic,Iron_oxide,Systemic,IV,4,Positive,Spherical,Vitamins,>1,4,Medium,3,1,Active,Covalent,Covalent - In_Shell,PEGylated,Covalent - EDC,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Skin,,1,Single,NA,NA,1188.679245,283.0188679,207.5471698,Very High,Spleen,Liver,Heart,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
23932289,Biomaterials,2013,10.1016/j.biomaterials.2013.07.084,Inorganic,Gold,Systemic,Other,2,Negative,Spherical,Peptide-Drugs,>1,2,Low,2,0,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,Anthracycline,5,1,NA,NA,NA,NA,Allograft heterotopic,Immunocompromised,Other,,17,Multiple,97.57473,High,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,Fluorescence,None,None,None,1,1,2,Regular
23932498,Biomaterials,2013,10.1016/j.biomaterials.2013.07.075,Inorganic,Silica,Systemic,IV,3,Negative,Spherical,Polymer-mAb,>1,5,High,2,3,Active,Covalent,Covalent - EDC,PEGylated,None,Drugs,>1,Anthracycline + Taxane,50,3,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Brain,,4,Multiple,98.86363636,Very High,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23933522,J Control Release,2013,10.1016/j.jconrel.2013.07.029,Inorganic,Iron_oxide,Systemic,IV,3,Negative,Spherical,Polymer,>1,1,Low,0,1,Passive,None,None,PEGylated,Covalent - In_Shell,Drugs,1,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Brain,,1,Single,87.24686276,Medium,93.30702096,78.34232031,5.508922119,Medium,Spleen,Liver,Lung,Ultrasound,None,None,Single,Theragnostic,MRI,Ultrasound,None,None,2,1,3,High
23969526,Nanoscale,2013,10.1039/c3nr02787b,Inorganic,Silica,Local,Intratumoral,4,Negative,Spherical,Proteins,1,2,Low,0,2,Passive,None,None,Non PEGylated,None,Drugs,>1,,2.5,1,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Skin,,6,Multiple,96.76044331,High,NA,NA,NA,NA,NA,NA,NA,Photodynamic therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
23973173,Biomaterials,2013,10.1016/j.biomaterials.2013.08.009,Inorganic,Silica,Systemic,IV,2,NA,Spherical,Polymer,1,1,Low,1,0,Passive,None,None,PEGylated,Covalent - Silane,Other,1,,3,1,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Liver,,1,Single,NA,NA,9.8,5.8,2.5,Low,Spleen,Liver,Kidney,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
24008045,Biomaterials,2013,10.1016/j.biomaterials.2013.08.041,Inorganic,Iron_oxide,Systemic,IV,2,NA,Spherical,Polymer-Drugs,>1,4,Medium,2,2,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,50,3,NA,12.7,Yes,1,Allograft heterotopic,Immunocompetent,Breast,Metastatic,1,Single,85.08785034,Medium,193.2283465,79.22834646,12.99212598,Medium,Liver,Spleen,Lung,Photodynamic therapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
24034498,Biomaterials,2013,10.1016/j.biomaterials.2013.08.049,Inorganic,Iron_oxide,Systemic,IV,3,Negative,Spherical,Polymer,>1,5,High,4,1,Passive,None,None,PEGylated,Covalent - EDC,None,None,,9,2,NA,NA,NA,NA,Allograft heterotopic,Immunocompetent,Skin,,1,Single,85.0877193,Medium,626.3157895,463.1578947,NA,Very High,Spleen,Liver,NA,Photodynamic therapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
24055524,Biomaterials,2013,10.1016/j.biomaterials.2013.09.008,Inorganic,Gold,Systemic,IV,3,Negative,Spherical,Polymer-Drugs,>1,3,Medium,3,0,Passive,None,None,PEGylated,Covalent - ThiolGold,None,None,Taxane,20,3,Yes,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Liver,,5,Multiple,75.14793,Medium,1397.92,NA,NA,Very High,Liver,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
24057072,Nanoscale,2013,10.1039/c3nr03490a,Inorganic,Silica,Systemic,IV,2,NA,Spherical,Polymer-nucleic acid,>1,5,High,4,1,Active,Covalent,Covalent - EDC,PEGylated,Covalent - EDC,Other,1,,16,3,NA,6.2,Yes,NA,Xenograft heterotopic,Immunocompromised,Cervix,,NA,NA,NA,NA,2.9,1.1,0.3,Low,Spleen,Liver,Kidney,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
24080913,Nanoscale,2013,10.1039/c3nr03669c,Inorganic,Iron_oxide,Local,Intratumoral,2,NA,Spherical,Polymer,>1,2,Low,0,2,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Skin,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,Ultrasound,Other,None,None,2,0,2,Regular
24083623,ACS Nano,2013,10.1021/nn403617j,Inorganic,Silica,Systemic,IV,3,Neutral,Spherical,Polymer-mAb,>1,6,High,5,1,Active,Covalent,Covalent - Maleimide,PEGylated,Covalent - Maleimide,Drugs,1,Anthracycline,50,3,NA,5.7,Yes,NA,Xenograft heterotopic,Immunocompromised,Breast,Metastatic,NA,NA,NA,NA,18.3,9.4,7.2,Low,Liver,Intestine,Kidney,Chemotherapy,None,None,Single,Theragnostic,PET,CT,None,None,2,1,3,High
24127723,ACS Nano,2013,10.1021/nn404676w,Inorganic,Silica,Systemic,IV,3,NA,Spherical,Polymer-Drugs,>1,6,High,5,1,Active,Covalent,Covalent - Click,Non PEGylated,None,Drugs,1,Anthracycline,5,1,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Cervix,,7,Multiple,60.49180328,Low,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Therapy,None,None,None,None,0,1,1,Regular
24127782,ACS Nano,2013,10.1021/nn403258w,Inorganic,Gold,Systemic,IV,NA,NA,Spherical,Proteins,1,4,Medium,3,1,Passive,None,None,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,NA,Allograft heterotopic,Immunocompromised,Skin,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,CT,None,None,None,1,0,1,Regular
24174328,Sci Transl Med,2013,10.1126/scitranslmed.3006839,Inorganic,Gold,Systemic,IV,2,Negative,Spherical,Polymer-nucleic acid,>1,7,Very High,5,2,Passive,Covalent,Covalent - ThiolGold,PEGylated,Covalent - ThiolGold,None,None,,NA,NA,NA,NA,NA,0.017,Xenograft orthotopic,Immunocompromised,Brain,,7,Multiple,72.69588,Low,NA,NA,NA,NA,NA,NA,NA,Gene therapy,None,None,Single,Theragnostic,MRI,Fluorescence,None,None,2,1,3,High
26531170,Nanoscale,2013,10.1039/c5nr05620a,Inorganic,Silver,Systemic,IV,3,NA,Spherical,Polymer-Drugs,1,3,Medium,1,2,Active,Covalent,Covalent - EDC,PEGylated,Covalent - In_Shell,None,None,,NA,NA,NA,NA,NA,5.7,Xenograft heterotopic,Immunocompromised,Cervix,,1,Single,NA,NA,NA,NA,NA,NA,Spleen,Liver,Heart,None,None,None,None,Diagnostic,Fluorescence,CT,None,None,3,0,3,High
29260827,Nanoscale,2013,10.1039/c7nr07263e,Inorganic,Copper,Local,Intratumoral,2,NA,Spherical,Polymer,1,3,Medium,0,3,Passive,None,None,Non PEGylated,None,None,None,,NA,NA,NA,NA,NA,NA,Xenograft orthotopic,Immunocompromised,Breast,Metastatic,1,Single,100,Very High,NA,NA,NA,NA,Liver,Spleen,Kidney,Photothermal therapy,None,None,Single,Theragnostic,Photoacoustic,None,None,None,1,1,2,Regular
23891990,Nanomedicine,2014,10.1016/j.nano.2013.07.003,Inorganic,Iron_oxide,Local,Intratumoral,2,Neutral,Spherical,Other,>1,1,Low,1,0,Passive,None,None,PEGylated,Covalent - In_Shell,Drugs,1,Alkylating agent,NA,NA,NA,NA,NA,NA,Xenograft heterotopic,Immunocompromised,Brain,,3,Multiple,69.83360172,Low,NA,NA,NA,NA,NA,NA,NA,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
24038954,Small,2014,10.1002/smll.201301456,Inorganic,Iron_oxide,Systemic,IV,2,Positive,Spherical,Polymer-Drugs,>1,4,Medium,4,0,Active,Covalent,Covalent - Maleimide,PEGylated,Covalent - NHS,None,None,Alkaloid,NA,NA,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Breast,Mouse,1,Single,NA,NA,126.2560778,97.39059968,7.131280389,Medium,Liver,Spleen,Kidney,Chemotherapy,None,None,Single,Theragnostic,MRI,None,None,None,1,1,2,Regular
24120046,Biomaterials,2014,10.1016/j.biomaterials.2013.09.079,Inorganic,Iron_oxide,Systemic,IV,NA,Negative,Other,Polymer,>1,2,Low,1,1,Passive,None,None,Non PEGylated,None,None,None,,10,2,NA,NA,NA,NA,Allograft orthotopic,Immunocompetent,Colon,,1,Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,None,None,Diagnostic,MRI,None,None,None,1,0,1,Regular
